Company_ID,Year,ESG_Score,Environmental_Score,Social_Score,Governance_Score
12,2016,59.9,72.6,64.0,52.4
12,2017,60.2,61.4,70.5,53.5
12,2018,62.5,70.1,71.3,54.1
12,2019,60.9,74.4,70.6,49.6
12,2020,62.1,67.3,77.0,51.0
12,2021,66.3,70.3,80.2,56.3
12,2022,72.0,70.3,92.3,60.6
12,2023,70.5,73.3,94.4,55.1
12,2024,71.7,76.1,99.6,53.2
12,2025,70.9,81.5,84.7,58.4
13,2012,50.2,89.6,39.8,40.6
13,2013,57.9,100.0,32.3,56.4
13,2014,57.5,100.0,32.8,55.3
13,2015,59.5,100.0,41.6,54.1
13,2016,66.7,100.0,46.4,65.6
13,2017,68.2,100.0,45.1,69.4
13,2018,67.2,100.0,45.5,67.0
13,2019,72.5,100.0,51.8,73.9
13,2020,70.5,99.5,54.3,68.6
13,2021,68.3,100.0,55.7,63.1
13,2022,65.0,100.0,45.8,62.5
13,2023,59.1,91.3,32.5,62.2
13,2024,64.9,98.7,44.6,63.6
13,2025,60.1,99.4,42.2,55.1
14,2012,37.6,43.4,34.4,36.2
14,2013,39.0,43.9,33.7,41.0
14,2014,37.1,33.0,39.2,38.4
14,2015,37.0,25.0,40.8,44.1
14,2016,34.4,26.2,35.6,41.0
14,2017,37.4,26.4,45.4,37.9
14,2018,39.1,33.4,43.3,39.3
14,2019,44.8,48.7,46.4,38.8
14,2020,44.0,52.1,51.1,26.3
14,2021,45.4,59.9,42.8,34.2
14,2022,47.9,59.7,44.5,40.6
14,2023,46.2,55.0,38.7,47.4
14,2024,46.2,56.8,39.1,45.1
14,2025,39.2,43.5,34.5,41.1
15,2012,47.9,43.3,42.1,63.0
15,2013,21.2,17.5,12.6,37.3
15,2014,25.4,18.9,12.4,51.4
15,2015,28.2,22.9,13.0,53.9
15,2016,27.8,21.7,16.4,51.2
15,2017,35.6,33.3,18.9,56.9
15,2018,36.9,29.1,29.7,59.6
15,2019,34.6,26.3,21.5,64.1
15,2020,31.6,24.9,20.5,55.9
15,2021,32.8,26.0,10.0,69.2
15,2022,33.2,25.5,21.1,60.9
15,2023,41.6,39.0,36.8,51.4
15,2024,37.0,29.7,39.6,48.9
15,2025,37.0,29.2,37.9,51.6
16,2012,47.3,45.1,44.0,55.9
16,2013,49.6,50.4,46.4,54.6
16,2014,54.1,46.9,57.7,56.3
16,2015,56.5,46.0,63.2,57.0
16,2016,53.2,45.7,57.5,54.4
16,2017,53.9,51.2,53.7,57.5
16,2018,51.3,50.7,50.0,54.4
16,2019,49.3,48.1,47.6,53.7
16,2020,48.7,55.1,44.8,48.2
16,2021,52.7,54.9,54.2,47.5
17,2012,56.6,60.2,54.1,56.2
17,2013,58.9,69.8,51.1,58.3
17,2014,54.6,62.5,52.4,49.6
18,2012,44.7,39.1,55.4,42.1
18,2013,43.2,42.3,51.6,34.6
18,2014,46.6,42.4,61.2,36.6
18,2015,49.8,47.3,65.2,35.9
18,2016,52.3,55.7,57.7,39.8
18,2017,54.5,61.0,61.4,34.4
18,2018,51.6,52.2,62.6,37.4
18,2019,50.2,50.1,56.8,42.3
18,2020,51.0,53.5,62.6,32.5
18,2021,49.5,49.8,67.6,27.3
18,2022,44.4,40.9,65.9,25.1
18,2023,48.4,40.8,70.7,35.3
18,2024,43.8,39.5,61.7,30.1
18,2025,45.6,42.9,62.4,30.1
19,2012,59.4,45.8,60.9,64.0
19,2013,61.5,57.8,63.1,62.1
19,2014,63.3,64.9,72.2,57.4
19,2015,62.8,57.8,74.0,58.0
19,2016,68.6,60.6,73.8,68.7
19,2017,64.8,51.4,61.0,72.5
19,2018,59.5,56.0,50.6,66.3
19,2019,59.6,54.2,62.5,60.1
19,2020,61.8,53.5,70.0,60.3
19,2021,63.5,58.6,64.3,64.9
19,2022,62.4,56.2,54.5,69.6
19,2023,63.2,59.2,61.3,65.9
19,2024,57.4,52.3,68.6,52.8
19,2025,49.9,49.2,61.6,43.2
20,2012,47.3,30.9,61.7,65.6
20,2013,51.8,32.8,70.4,71.3
20,2014,41.4,25.4,57.7,57.3
20,2015,36.7,15.0,49.1,67.8
20,2016,44.3,30.4,47.8,68.8
20,2017,42.1,22.9,49.6,73.0
20,2018,45.1,30.7,37.4,81.7
20,2019,44.4,30.5,42.4,74.1
20,2020,44.2,30.7,47.2,68.1
20,2021,45.4,33.5,50.6,63.9
20,2022,48.6,39.3,50.9,65.0
20,2023,51.4,43.2,51.5,67.8
20,2024,53.1,41.9,64.5,64.0
20,2025,49.4,42.0,56.8,57.0
21,2012,55.5,46.5,33.9,72.0
21,2013,51.5,42.8,24.0,71.5
21,2014,51.1,39.9,26.3,70.5
21,2015,49.9,34.1,20.5,73.9
21,2016,51.3,32.5,33.1,69.8
21,2017,50.1,33.2,29.2,69.4
21,2018,53.1,32.8,28.4,76.1
21,2019,54.5,48.5,23.4,75.5
21,2020,54.7,49.5,32.6,70.1
21,2021,57.9,49.2,26.8,80.1
21,2022,58.4,51.2,32.3,76.9
21,2023,60.9,50.3,33.9,81.4
21,2024,64.8,42.4,39.5,89.0
21,2025,62.4,49.0,27.1,88.9
22,2012,55.0,50.9,43.9,74.9
22,2013,54.2,50.6,38.6,80.5
22,2014,54.8,47.2,44.4,76.6
22,2015,52.8,51.2,42.1,70.3
22,2016,50.7,54.8,37.2,67.6
22,2017,56.1,51.4,48.7,71.0
22,2018,56.9,50.1,61.0,56.3
22,2019,55.8,56.7,51.9,60.8
23,2012,49.6,44.4,44.2,70.6
23,2013,49.9,46.5,42.8,69.1
23,2014,43.7,42.2,31.9,65.0
23,2015,49.3,50.2,35.0,68.7
23,2016,52.0,47.4,46.4,71.9
23,2017,50.3,41.8,53.0,67.5
23,2018,53.0,45.6,60.3,60.4
23,2019,55.0,44.9,70.9,56.6
23,2020,52.4,44.9,64.8,52.6
23,2021,51.3,37.0,70.2,58.5
23,2022,46.1,29.9,58.3,68.2
23,2023,49.2,33.8,60.5,71.0
23,2024,51.6,41.5,50.5,78.3
23,2025,60.5,61.8,48.7,75.0
24,2012,48.7,55.6,29.5,69.6
24,2013,49.6,55.8,36.2,62.2
24,2014,52.1,61.6,36.6,63.6
24,2015,56.5,70.4,37.3,67.9
24,2016,60.8,67.1,53.2,64.3
24,2017,58.9,73.3,43.7,63.1
24,2018,50.7,53.6,39.6,64.5
24,2019,47.3,50.6,32.0,67.1
24,2020,42.7,42.6,29.2,64.4
24,2021,44.4,50.6,23.3,69.5
24,2022,47.3,50.2,29.8,71.3
24,2023,54.8,56.6,31.9,89.0
24,2024,56.8,53.7,44.4,81.0
24,2025,52.7,51.4,38.7,77.0
25,2012,49.1,68.0,45.1,33.6
25,2013,52.3,59.9,52.5,43.0
25,2014,51.7,67.3,45.6,43.8
25,2015,49.4,73.0,36.0,45.4
25,2016,52.9,66.6,45.7,49.3
25,2017,49.1,72.0,35.7,45.6
25,2018,46.9,75.8,31.7,39.5
25,2019,56.2,90.3,35.3,52.8
25,2020,52.9,79.1,36.8,50.3
25,2021,52.8,83.4,34.2,49.5
26,2012,55.1,67.8,37.1,66.4
26,2013,65.2,80.7,51.2,68.4
26,2014,62.2,85.7,40.0,68.3
27,2012,63.6,58.2,63.4,69.1
27,2013,52.5,48.5,49.0,61.2
27,2014,54.8,55.2,47.5,64.2
27,2015,52.0,49.2,41.7,68.7
27,2016,51.8,48.9,48.6,59.1
27,2017,60.2,58.8,60.2,61.5
27,2018,69.1,62.4,73.2,70.4
28,2012,49.3,42.1,46.6,63.8
28,2013,51.6,49.6,45.8,63.6
28,2014,47.0,44.7,43.1,56.4
28,2015,48.9,45.1,40.7,67.4
28,2016,54.7,42.3,56.8,68.7
28,2017,48.0,30.7,48.8,70.9
28,2018,50.4,36.7,48.9,72.0
28,2019,52.2,42.0,48.1,72.9
28,2020,50.5,48.5,45.8,60.7
28,2021,54.3,54.7,46.1,67.0
28,2022,53.4,49.6,48.3,66.9
28,2023,58.6,58.2,52.4,69.0
28,2024,59.6,48.0,55.1,83.0
28,2025,65.2,54.2,53.0,100.0
29,2012,56.4,76.7,42.3,26.8
29,2013,50.8,67.4,40.1,25.3
29,2014,51.4,64.3,45.0,28.5
30,2012,44.7,39.2,49.0,51.5
30,2013,42.7,34.5,44.2,57.6
30,2014,43.0,33.3,46.7,58.7
30,2015,33.5,23.1,43.3,44.6
30,2016,32.3,22.6,44.2,39.8
30,2017,35.9,31.1,42.6,38.9
30,2018,45.3,44.9,44.0,47.3
30,2019,45.8,44.2,40.6,54.4
30,2020,48.3,47.9,45.8,51.5
30,2021,40.6,41.3,36.2,43.5
30,2022,38.7,40.1,33.5,41.2
30,2023,36.6,32.3,38.3,43.4
30,2024,45.1,43.7,44.9,48.0
30,2025,43.2,37.6,50.3,47.2
31,2012,40.5,42.4,41.8,35.4
31,2013,42.8,43.8,50.6,33.0
31,2014,44.2,45.7,48.2,37.0
31,2015,49.1,57.6,48.3,33.0
31,2016,48.6,60.0,39.3,34.9
31,2017,46.2,57.9,38.1,31.1
31,2018,45.8,53.0,39.4,38.0
31,2019,49.4,54.7,48.9,39.1
31,2020,51.0,61.5,41.5,39.3
31,2021,48.9,59.7,37.2,39.1
31,2022,55.3,64.4,48.1,44.4
31,2023,47.6,54.8,42.1,38.5
31,2024,53.4,59.0,39.9,55.5
31,2025,54.2,63.0,39.8,50.8
32,2012,47.6,66.4,19.7,56.9
32,2013,51.6,62.2,28.5,61.2
32,2014,49.6,67.2,31.4,53.5
32,2015,46.5,66.4,30.3,48.2
32,2016,54.4,71.7,43.9,53.7
32,2017,52.9,71.4,36.1,55.5
32,2018,54.8,63.6,30.5,65.9
32,2019,55.4,61.7,35.2,65.0
32,2020,53.2,54.5,37.0,62.3
32,2021,48.9,53.7,32.5,56.8
32,2022,45.0,56.8,27.3,51.0
32,2023,40.9,55.7,17.9,48.7
32,2024,46.3,58.2,19.9,57.3
32,2025,51.1,62.8,20.9,64.5
33,2012,65.4,77.3,60.0,63.9
33,2013,68.1,79.7,59.1,68.9
33,2014,66.7,81.6,70.2,58.7
33,2015,67.6,73.2,74.2,61.4
33,2016,69.1,71.5,77.4,63.1
33,2017,65.1,79.0,66.8,58.5
33,2018,70.8,86.6,67.9,66.2
34,2012,50.8,53.4,62.8,33.6
34,2013,50.3,49.4,60.2,42.3
34,2014,46.4,41.4,62.3,40.6
34,2015,50.6,46.7,65.8,43.4
34,2016,53.2,50.8,57.1,53.9
34,2017,49.3,49.2,51.0,47.9
34,2018,44.3,43.3,60.1,30.6
34,2019,36.8,35.6,50.9,25.0
34,2020,46.6,47.2,57.7,34.2
34,2021,43.6,43.5,53.4,34.0
34,2022,37.3,33.3,55.5,27.2
34,2023,38.8,38.0,53.9,25.3
34,2024,42.5,41.3,56.4,31.1
34,2025,46.0,49.1,58.9,27.0
35,2012,52.7,60.0,60.2,30.3
35,2013,49.7,62.7,56.7,21.5
35,2014,47.0,56.3,55.1,21.1
35,2015,49.3,64.2,54.7,21.8
35,2016,52.0,63.6,59.6,24.6
35,2017,50.1,54.3,59.5,28.0
35,2018,49.8,54.1,62.8,21.3
35,2019,47.3,56.6,57.3,18.0
35,2020,48.7,50.5,62.9,21.1
35,2021,47.8,57.1,48.2,35.9
35,2022,44.4,45.6,52.7,28.2
35,2023,47.2,56.0,53.5,25.2
35,2024,49.8,65.9,48.2,33.2
35,2025,49.1,62.1,50.5,30.8
36,2012,56.7,62.1,55.6,48.3
36,2013,59.7,71.3,52.2,48.0
36,2014,54.1,61.4,52.5,42.7
36,2015,54.9,67.6,46.3,42.5
36,2016,54.4,68.6,46.5,38.4
36,2017,53.3,57.1,53.2,46.6
37,2012,50.9,38.9,54.5,68.1
37,2013,52.4,35.2,56.1,79.0
37,2014,55.7,43.3,53.6,80.4
37,2015,50.0,30.8,51.7,82.6
37,2016,49.9,23.9,60.4,84.2
37,2017,52.5,35.3,54.5,81.1
37,2018,51.8,37.2,51.8,77.9
37,2019,52.5,41.6,54.3,70.0
37,2020,53.2,48.2,54.7,60.3
37,2021,56.6,53.5,60.2,57.7
37,2022,60.7,66.8,50.4,61.9
37,2023,61.2,65.9,49.4,66.7
37,2024,61.5,58.7,66.9,60.2
37,2025,59.1,53.3,68.7,58.2
38,2012,49.4,46.6,46.2,58.0
38,2013,55.2,52.3,46.7,69.5
39,2012,47.1,36.3,48.7,67.0
39,2013,50.9,39.3,51.1,73.8
39,2014,49.8,35.8,50.0,77.8
39,2015,45.4,27.7,42.0,84.1
39,2016,50.7,35.1,45.5,87.1
39,2017,52.9,33.9,59.1,84.6
39,2018,58.2,41.7,64.4,85.1
39,2019,60.3,51.1,59.3,79.7
39,2020,66.1,55.8,56.5,96.3
39,2021,64.5,51.7,69.0,85.6
39,2022,59.6,47.0,64.6,79.7
39,2023,62.7,52.3,67.2,79.0
39,2024,60.5,50.0,65.5,76.4
39,2025,60.6,49.2,70.0,74.2
40,2012,48.5,41.0,46.1,65.8
40,2013,43.8,31.4,50.6,61.8
40,2014,43.3,30.0,57.2,56.1
40,2015,42.5,28.2,57.5,56.0
40,2016,45.7,40.3,47.3,54.9
40,2017,50.7,47.2,53.7,54.8
40,2018,55.0,55.9,48.9,59.1
40,2019,52.6,48.5,51.0,62.3
40,2020,54.2,51.9,47.2,65.8
40,2021,59.0,56.5,56.8,66.1
40,2022,50.1,48.1,47.9,56.2
40,2023,49.0,47.6,43.8,56.9
40,2024,51.8,41.8,48.4,75.4
40,2025,46.9,34.7,45.2,73.1
41,2012,36.6,38.7,31.1,38.1
41,2013,39.4,32.5,40.7,51.9
41,2014,40.1,34.0,47.1,45.4
41,2015,56.4,57.3,59.8,51.3
42,2012,50.4,27.7,63.5,75.6
42,2013,54.8,32.3,69.5,77.6
42,2014,50.5,24.7,72.6,70.5
42,2015,40.5,20.6,59.0,54.2
42,2016,46.2,34.8,56.2,54.9
42,2017,49.2,31.0,59.4,69.7
42,2018,48.8,29.6,55.6,75.0
42,2019,53.8,34.3,64.1,76.5
42,2020,54.8,42.4,61.6,69.0
42,2021,54.0,38.4,60.2,74.5
42,2022,63.8,46.1,71.2,86.8
42,2023,59.4,36.4,71.8,85.8
42,2024,57.1,33.8,64.7,89.9
42,2025,61.0,36.6,66.4,98.6
43,2012,39.9,43.5,49.6,22.9
43,2013,39.2,45.1,52.5,14.1
43,2014,43.2,54.2,44.0,20.4
43,2015,48.4,53.2,54.0,33.1
43,2016,53.4,57.9,55.4,42.4
43,2017,47.6,49.5,53.2,38.2
43,2018,46.5,50.5,47.7,37.3
44,2012,81.6,63.4,85.2,94.9
44,2013,85.2,70.1,88.5,96.0
44,2014,85.5,73.3,85.4,97.9
44,2015,83.0,71.0,83.2,94.7
44,2016,83.0,72.8,82.1,94.5
44,2017,83.8,79.6,84.3,87.5
44,2018,87.6,77.8,90.1,94.0
44,2019,85.0,88.5,79.3,89.2
44,2020,81.0,78.9,82.4,81.3
44,2021,74.3,74.2,75.2,73.1
44,2022,78.7,80.3,75.6,81.1
44,2023,81.4,86.3,79.2,79.4
44,2024,80.8,75.0,88.6,76.2
44,2025,85.4,81.3,90.9,82.0
45,2012,41.5,35.9,29.0,74.3
45,2013,48.0,31.0,54.8,80.2
45,2014,42.5,22.3,51.0,80.2
45,2015,41.6,27.7,42.7,74.5
45,2016,45.6,38.0,36.8,77.6
45,2017,41.9,35.3,28.9,78.0
45,2018,39.4,37.0,30.7,58.2
45,2019,50.4,47.7,45.5,64.5
45,2020,51.0,47.5,43.3,71.4
45,2021,43.5,34.0,39.7,72.8
45,2022,35.8,25.1,40.2,55.8
45,2023,32.1,23.8,29.4,56.8
45,2024,34.7,36.3,24.9,45.4
45,2025,41.1,36.3,39.6,55.3
46,2012,50.1,53.4,53.0,40.8
46,2013,53.7,50.2,56.6,52.7
47,2012,59.1,73.1,34.5,63.5
47,2013,57.0,70.7,33.3,60.9
47,2014,55.0,72.6,29.0,54.7
47,2015,52.9,66.3,27.3,59.6
48,2012,57.6,100.0,52.8,29.4
48,2013,54.4,92.2,50.9,28.2
48,2014,46.8,78.4,46.0,21.5
48,2015,42.7,81.9,46.9,3.8
48,2016,48.3,74.3,57.6,12.7
48,2017,49.2,77.5,58.6,11.6
48,2018,50.4,87.9,52.1,16.5
48,2019,53.6,87.0,53.1,26.5
48,2020,59.6,84.9,64.6,30.9
48,2021,62.8,93.9,68.2,28.7
48,2022,73.1,97.2,74.3,51.2
48,2023,74.8,100.0,75.2,53.1
48,2024,69.0,93.9,64.0,55.9
48,2025,66.7,84.1,64.4,55.7
49,2012,74.5,66.1,79.8,73.4
49,2013,76.0,63.9,82.8,75.9
49,2014,71.3,70.1,76.7,64.3
49,2015,75.1,69.1,75.3,79.7
49,2016,75.5,73.7,74.5,78.5
49,2017,73.3,75.0,71.0,75.4
49,2018,75.7,75.9,70.8,82.8
49,2019,74.4,81.8,69.9,74.9
49,2020,77.8,88.8,78.9,67.1
49,2021,77.4,80.4,80.0,70.9
49,2022,79.2,85.0,81.3,71.3
49,2023,78.6,79.3,82.7,71.8
49,2024,75.7,73.4,81.4,69.1
49,2025,76.2,80.3,78.9,68.8
50,2012,55.0,64.7,23.0,67.7
50,2013,54.1,62.9,20.2,70.3
50,2014,56.7,67.1,23.2,69.6
50,2015,56.6,69.7,18.5,68.5
50,2016,51.6,70.7,1.5,63.3
50,2017,56.3,72.3,5.4,75.2
50,2018,58.5,70.7,12.5,80.2
50,2019,62.0,72.4,21.1,82.2
50,2020,59.1,68.0,22.8,77.7
50,2021,50.8,60.7,10.5,71.3
50,2022,50.5,61.4,8.0,71.2
50,2023,50.0,57.7,17.6,67.1
50,2024,59.7,68.1,29.6,72.9
50,2025,60.5,79.4,23.1,60.0
51,2012,52.3,58.7,37.6,58.5
51,2013,56.6,60.6,52.0,57.7
51,2014,49.7,54.7,32.8,57.8
51,2015,49.8,55.0,30.8,59.1
51,2016,55.9,58.3,40.6,64.1
51,2017,53.1,50.3,42.4,60.7
51,2018,48.0,38.6,32.5,61.1
51,2019,46.0,51.9,32.0,52.0
51,2020,59.6,55.1,42.9,71.4
52,2012,44.9,47.9,51.5,33.2
52,2013,49.0,51.6,59.4,32.4
52,2014,43.5,46.1,49.6,32.9
52,2015,40.4,47.6,50.5,19.6
52,2016,47.4,50.4,59.2,28.8
52,2017,44.2,45.6,53.5,30.5
52,2018,45.8,40.4,52.9,41.9
52,2019,44.5,43.7,57.6,27.9
52,2020,42.6,43.2,53.3,27.7
52,2021,47.2,47.6,58.4,31.9
52,2022,44.0,44.6,57.5,25.5
52,2023,40.8,42.7,50.6,25.8
52,2024,40.7,40.3,51.0,27.2
52,2025,46.1,39.6,63.4,29.4
53,2012,50.3,54.4,45.2,47.1
53,2013,44.6,42.9,52.9,39.5
53,2014,43.1,34.3,59.0,44.8
53,2015,38.6,26.7,56.3,44.5
53,2016,41.9,35.3,54.2,42.7
54,2012,37.4,34.6,29.6,43.2
54,2013,34.6,28.5,38.6,34.6
54,2014,32.1,21.6,36.3,33.8
54,2015,40.2,30.4,40.5,43.9
54,2016,38.3,30.0,39.0,41.3
54,2017,36.4,26.2,28.8,45.1
54,2018,41.1,44.3,34.3,43.9
54,2019,47.5,46.9,41.9,51.1
54,2020,45.8,46.2,34.1,52.7
54,2021,46.5,46.0,39.7,50.7
54,2022,50.9,47.4,38.5,59.8
54,2023,52.6,52.0,49.7,54.6
54,2024,51.2,51.3,44.5,55.1
54,2025,54.2,45.7,41.6,65.1
55,2012,32.4,20.3,31.8,63.7
55,2013,35.7,15.2,39.9,80.7
55,2014,37.4,22.3,36.4,76.7
55,2015,35.7,23.5,32.6,70.8
55,2016,37.7,28.9,32.7,67.0
55,2017,39.2,34.1,33.4,60.7
55,2018,40.4,31.9,35.8,68.8
55,2019,40.1,35.1,34.1,61.8
55,2020,41.2,35.9,35.4,63.0
55,2021,43.8,31.9,45.6,70.6
55,2022,47.6,36.3,47.6,75.9
55,2023,49.2,37.1,47.5,82.1
55,2024,46.4,34.9,41.8,81.9
55,2025,43.8,29.7,44.0,78.9
56,2012,58.7,60.1,69.9,37.0
56,2013,62.8,61.5,75.5,41.7
56,2014,64.7,64.6,76.8,43.1
56,2015,62.5,69.7,76.0,29.6
56,2016,66.4,76.8,77.5,33.8
56,2017,64.2,68.6,79.2,32.0
56,2018,66.0,72.2,74.1,44.1
56,2019,60.9,72.8,68.1,33.8
56,2020,55.5,70.2,60.1,29.7
56,2021,66.2,74.1,79.0,33.6
56,2022,63.0,73.4,71.3,35.6
56,2023,63.1,74.0,70.6,36.7
56,2024,61.5,63.4,75.3,34.5
56,2025,62.2,73.1,74.0,27.9
57,2012,43.2,49.0,51.4,35.9
57,2013,46.0,52.6,55.4,37.8
57,2014,47.5,48.6,55.3,42.3
57,2015,48.1,48.6,50.5,46.5
57,2016,53.0,54.2,51.1,53.7
57,2017,52.0,48.9,45.0,57.4
57,2018,53.8,56.6,48.0,56.2
57,2019,54.5,49.9,41.7,64.0
57,2020,59.9,54.1,61.9,61.0
57,2021,53.8,47.4,54.1,56.2
57,2022,53.6,52.8,47.8,57.3
57,2023,51.1,52.4,47.2,52.9
57,2024,55.6,55.1,49.9,59.2
57,2025,52.0,59.4,50.9,49.7
58,2012,69.9,82.3,64.2,65.3
58,2013,72.9,77.1,77.4,59.8
58,2014,74.4,79.4,74.5,68.4
58,2015,80.0,85.6,81.1,71.5
58,2016,84.9,84.0,89.3,78.2
58,2017,82.8,94.0,83.7,67.6
58,2018,79.9,88.7,82.4,64.7
58,2019,73.9,95.6,66.9,60.3
58,2020,81.0,95.4,76.9,71.2
58,2021,77.4,85.5,74.8,72.5
58,2022,76.4,98.7,66.2,67.9
58,2023,76.1,97.2,64.2,72.1
58,2024,70.4,82.7,58.6,76.8
58,2025,73.7,95.6,57.8,76.2
59,2012,59.5,49.9,60.0,78.3
59,2013,52.6,47.3,48.6,67.4
59,2014,58.3,57.4,42.1,76.2
59,2015,57.4,61.3,46.4,60.8
59,2016,53.6,50.8,53.0,59.7
59,2017,59.3,53.6,52.3,77.8
59,2018,59.1,56.4,54.7,68.9
59,2019,61.6,58.7,55.2,73.6
59,2020,57.8,55.9,50.7,68.8
59,2021,59.7,64.7,49.6,59.7
60,2012,43.8,43.5,42.5,46.4
60,2013,42.6,38.7,38.0,55.7
60,2014,32.4,27.4,30.9,40.9
