Month,Rf_Pct,Mkt_Excess_Pct,SMB_Pct,Ind_Consumer_Goods_Pct,Ind_Energy_Pct,Ind_Finance_Pct,Ind_Healthcare_Pct,Ind_Manufacturing_Pct,Ind_Retail_Pct,Ind_Technology_Pct,Ind_Transportation_Pct,Ind_Utilities_Pct
2013-09,0.1,2.3636,-3.2708,-0.812,-0.1891,-0.9228,1.0091,0.5725,1.3941,0.0262,-2.3642,0.0862
2013-10,0.1,-2.724,1.8156,-0.3465,3.2636,1.3868,-0.4171,1.7655,-1.9172,1.1514,1.277,1.6393
2013-11,0.1,4.3435,-0.9122,-1.5624,0.092,-1.0282,-1.9981,-0.0169,3.9275,-0.7523,0.3433,1.904
2013-12,0.1,5.4189,0.918,-1.6093,0.9906,3.706,2.2601,2.1164,-0.2865,3.1458,0.4621,1.6403
2014-01,0.1,-4.5083,1.1431,3.622,-0.0066,-1.6818,2.3896,-1.7977,3.5068,0.9061,-2.703,-0.5142
2014-02,0.1,-2.7963,2.1065,-1.8408,-1.2439,1.5126,0.2877,3.0415,-0.3831,-0.137,2.8544,-0.0296
2014-03,0.1,-2.2252,2.1142,0.5065,1.5325,4.0884,0.7548,-1.1085,1.412,3.171,-0.3724,0.205
2014-04,0.1,4.1888,-2.164,1.8895,0.4667,3.3237,1.2166,1.0603,-0.406,-2.9263,-0.2414,0.8273
2014-05,0.1,1.9072,-2.3882,0.6257,0.1218,-2.1584,0.1786,2.1038,1.8375,-0.2766,3.3122,-2.5807
2014-06,0.1,-2.6324,0.2159,1.9859,0.5032,1.3321,0.0267,1.6838,-1.2864,1.098,-1.2065,1.9056
2014-07,0.1,4.9969,-0.299,0.3296,1.3157,-1.6599,0.8469,-2.2021,-0.0884,-2.1947,1.1666,-0.63
2014-08,0.1,5.3637,2.2139,-2.378,-0.6862,1.4854,-0.906,-0.69,2.3742,-0.4317,-1.57,1.0789
2014-09,0.1,-9.1992,0.5917,2.1805,-2.1815,-0.4654,-3.0945,-0.7242,-0.9464,0.7691,-2.4122,-2.618
2014-10,0.1,0.6403,2.6208,-0.4122,1.368,-5.0974,0.6768,1.8741,3.6658,0.4054,-1.8112,0.9102
2014-11,0.1,10.587,-2.8798,1.4273,-1.5437,0.4045,-1.2907,1.882,-4.3657,-0.165,2.1628,2.1938
2014-12,0.1,4.2474,0.4727,2.3635,0.7635,-1.0463,0.3621,-0.9967,0.926,2.7898,2.1324,2.3424
2015-01,0.1,3.4999,6.5367,3.4909,0.3414,3.7544,1.0364,0.8759,1.2453,3.5393,-2.7774,-0.336
2015-02,0.1,2.0876,-2.2114,0.0939,-0.2035,-0.6415,-0.5515,1.5113,-2.2792,-0.1692,0.1094,-2.4655
2015-03,0.1,6.9595,2.6825,-0.7995,0.8146,-4.8871,-0.735,-1.7837,-0.2355,2.1179,1.0469,3.0138
2015-04,0.1,6.8014,-3.765,0.7861,0.7023,-2.2917,-3.1075,2.8101,1.3856,1.3063,-4.7076,0.66
2015-05,0.1,-5.5922,-0.8084,-0.1426,0.8065,1.8242,-2.5119,-0.3035,2.5892,0.9528,-0.5918,1.8547
2015-06,0.1,-2.7242,4.4876,-1.6165,-1.5125,-0.8579,0.0737,-2.3327,1.8239,-2.3984,-1.1702,-0.8386
2015-07,0.1,-6.0144,-2.6417,-2.0274,-2.0219,-2.3229,-1.9018,-0.797,2.1819,0.5602,1.7561,-0.0786
2015-08,0.1,2.2488,0.5671,3.2503,-1.5629,-1.3668,1.7902,0.5648,-0.1923,1.4945,2.7699,-0.502
2015-09,0.1,0.9927,0.7148,-0.4646,0.6576,-1.3346,-2.108,-1.6566,2.8212,-1.2299,-3.136,2.0061
2015-10,0.1,-4.079,-1.3572,-4.1628,-1.7327,0.8995,-3.7622,-5.6138,-2.0805,-1.451,2.2464,0.2693
2015-11,0.1,-3.8453,-0.8655,1.0568,-0.2027,-0.1264,-2.045,-1.114,-0.3922,2.2175,1.4236,3.0891
2015-12,0.1,0.7401,-3.4813,-1.6512,3.4642,2.0853,-2.499,0.241,-2.9072,4.7057,-0.7458,1.4256
2016-01,0.1,-3.1484,-0.6241,1.634,1.139,2.9467,2.0999,2.2771,-3.4863,-1.6993,1.7368,-1.6667
2016-02,0.1,-0.8983,0.5047,2.4803,-3.0719,0.5512,-1.9162,-1.3936,-2.0508,-1.9983,0.322,0.645
2016-03,0.1,4.7081,0.4995,2.594,-1.2314,4.3457,2.2783,2.6265,0.2224,1.0871,-0.0961,0.1504
2016-04,0.1,-4.3278,2.0152,-1.5807,-0.3182,1.2828,0.8236,0.0721,0.4708,0.5172,-4.0667,-0.382
2016-05,0.1,3.1152,-0.1302,-1.5089,2.2511,-3.6372,-3.0188,4.5173,2.6706,0.6986,-1.6943,0.7735
2016-06,0.1,3.5705,3.9652,-0.9219,4.879,0.7951,0.612,-2.1138,-3.0805,-0.701,-3.0043,-1.8683
2016-07,0.1,-3.1733,-0.9751,3.8096,-0.9762,2.0906,0.6049,1.506,0.6514,-0.4906,-2.7784,-0.6129
2016-08,0.1,0.6794,1.872,0.101,-0.5954,2.147,-0.3617,0.6112,-0.2623,1.8148,0.2065,0.7884
2016-09,0.1,3.5667,1.5987,-0.4372,0.0333,1.5045,-1.56,-0.977,2.3857,2.2876,-1.4821,-0.8787
2016-10,0.1,1.1686,0.9106,4.4517,0.8127,-2.8763,-1.942,1.7968,-1.8509,-3.918,0.1032,1.1351
2016-11,0.1,6.8728,-0.4313,0.4321,-1.0614,3.8644,0.1426,0.5997,-1.8692,-1.2246,3.7984,-3.647
2016-12,0.1,-3.4529,1.2419,-0.1564,3.7359,-0.2441,-2.3779,-1.5531,-2.6771,2.7952,-1.4359,0.9123
2017-01,0.1,-0.7091,2.5017,0.7918,1.4453,-1.2239,-0.1773,-0.29,-3.7113,2.0791,-3.075,3.707
2017-02,0.1,-2.1371,0.5213,1.6258,1.7669,-4.3293,0.0063,-1.3421,2.2942,-0.9778,-3.111,-0.1682
2017-03,0.1,0.8447,1.4775,-2.6217,0.9641,4.599,-4.7338,5.139,-1.738,-2.0685,-0.2794,-0.3984
2017-04,0.1,1.8866,-2.0079,1.1831,-3.7023,-0.0541,-0.3478,1.2857,1.4159,-2.8082,-2.1576,3.3584
2017-05,0.1,1.2096,2.5581,-2.0713,1.6508,-0.7946,2.1791,1.9429,-1.8396,4.6882,2.6463,-0.8554
2017-06,0.1,0.2994,-3.1414,-0.7751,-1.0055,-0.2603,-0.1961,0.0884,2.6902,-0.7882,-3.0261,-0.8356
2017-07,0.1,4.0453,2.295,0.1234,5.3108,-2.6153,0.1778,-1.0845,-1.8762,-2.5225,-0.6042,0.0932
2017-08,0.1,2.6109,0.9982,-0.7682,0.7528,-2.4506,2.2303,3.1607,-2.2865,-0.4105,-1.2792,1.8398
2017-09,0.1,-2.3017,4.1223,0.2065,-0.4498,-2.4163,1.225,2.932,3.3333,-2.038,-1.9992,-1.7747
2017-10,0.1,6.1431,-0.9227,-3.4239,-0.2641,2.606,-1.0603,-0.4858,2.657,0.8134,-1.1265,-2.6684
2017-11,0.1,-1.6088,0.2309,-2.4229,2.7671,-1.8548,-1.6896,0.1022,3.8193,3.8055,-3.2012,1.1967
2017-12,0.1,4.4046,-1.1035,-1.1454,-0.0316,1.2946,1.4087,2.0164,3.1143,0.4669,0.3232,-0.7083
2018-01,0.1,-4.0587,-0.585,0.1927,0.3152,-0.7656,-1.8495,0.2813,-0.8385,-4.0991,0.5075,-0.4295
2018-02,0.1,-4.5467,2.878,0.2888,1.4328,-0.769,0.4857,2.9558,0.6999,3.2495,0.1825,2.5583
2018-03,0.1,-0.611,1.0991,-1.6468,2.3638,0.4727,-0.298,-1.5091,-2.3041,3.2504,0.1588,-1.3305
2018-04,0.1,-8.6001,-2.2013,-3.3358,1.5096,1.256,1.2605,-3.0078,4.4946,1.528,-1.7402,-1.2015
2018-05,0.1,0.9202,4.1221,1.3437,0.286,-0.982,2.0843,1.8924,-4.1943,-0.7033,2.4012,0.1969
2018-06,0.1,4.323,-1.7175,0.4275,-3.4548,-2.0028,-0.3727,4.4574,0.6199,1.7335,-2.3255,2.9056
2018-07,0.1,2.1946,-0.5271,2.0312,-1.7105,0.1075,0.1127,2.7913,-2.2427,0.7904,1.0494,1.844
2018-08,0.1,3.0159,2.7525,1.3934,3.6531,3.9878,-0.0313,-2.1794,0.9134,-1.7866,0.7633,-1.1158
2018-09,0.1,5.6333,2.0518,-2.2125,-1.3058,2.9419,1.1598,-1.1538,-4.406,-3.2591,0.9505,0.9201
2018-10,0.1,3.5301,-0.0964,-2.2035,-0.268,0.3692,-1.3377,0.4122,-3.3245,-3.0637,0.7786,-2.0807
2018-11,0.1,-5.3904,-2.4756,-2.3585,-1.1042,-2.017,2.1234,1.2736,-1.6594,-5.4157,-0.936,0.9268
2018-12,0.1,5.2077,0.8088,-1.0058,0.8598,-1.8393,-1.0426,-5.2727,-0.5521,-0.4639,-4.5637,0.2499
2019-01,0.1,-2.2673,-1.041,-0.3465,3.1125,0.5742,0.7314,-0.1186,0.4862,1.2634,-1.7369,-1.4333
2019-02,0.1,4.7841,3.4312,-1.4993,2.2276,2.4889,0.4689,0.0131,0.9684,-0.3828,3.1265,-0.0087
2019-03,0.1,2.4639,1.5551,-4.824,3.854,2.3662,-1.0773,0.68,-0.1453,2.8543,-0.2462,-0.5482
2019-04,0.1,-0.8725,-0.6139,-1.0883,-0.3243,-2.3635,1.7331,0.1586,-4.6486,1.3897,1.9451,-1.2931
2019-05,0.1,5.158,1.3008,1.558,-4.3154,-0.9547,1.7834,1.2713,-0.7972,-0.8991,-0.5938,1.7097
2019-06,0.1,0.5089,0.7346,1.6942,-1.5317,-3.4451,1.2356,-1.0009,-5.6089,3.1981,2.7354,-0.2075
2019-07,0.1,1.5489,-2.4478,-1.2724,-0.7685,2.2865,-0.714,1.0517,2.2035,2.7589,0.0604,1.2705
2019-08,0.1,-1.5163,0.4712,-3.2059,0.6572,0.9703,-1.06,2.3789,0.8997,0.2102,3.6421,0.5296
2019-09,0.1,7.8125,-1.9436,-0.9065,1.6983,-0.6401,-1.027,3.2647,-2.3263,3.641,-1.356,0.5982
2019-10,0.1,-4.5288,0.8074,-3.5117,-2.4057,1.9885,-2.6986,2.8719,0.4224,3.9991,2.3339,-0.1955
2019-11,0.1,-2.8009,-1.3644,1.0561,2.0881,-2.4028,-1.1639,-0.5976,1.4797,3.5221,2.4129,-0.189
2019-12,0.1,4.82,4.2708,0.9416,2.3948,-0.1585,1.1256,1.8017,-0.8603,0.0372,1.1281,-1.5875
2020-01,0.1,-8.5716,-1.0572,-0.7808,-1.052,1.1367,-0.7359,0.1343,0.5225,4.1839,-2.1038,0.1496
2020-02,0.1,-8.0,0.5004,-4.6039,-3.4924,4.9548,1.4719,-1.6192,-0.6865,0.3649,-1.0237,-1.4475
2020-03,0.1,-13.0,-4.8115,2.1112,1.3556,-0.6054,-1.6561,1.76,2.8633,-0.3373,-0.4786,3.7266
2020-04,0.1,9.0,0.0384,2.5052,1.0669,-1.2096,-1.1665,-0.2562,-1.2523,-0.7483,0.1599,1.3744
2020-05,0.1,4.0,-2.7985,-0.5446,-3.1512,0.4867,3.6537,-0.4489,1.996,-1.1702,0.3722,0.4881
2020-06,0.1,2.0,0.4424,0.7266,-0.1458,2.228,2.345,1.0755,2.7953,1.9762,-0.4057,1.4724
2020-07,0.1,-3.0103,1.6438,-1.4421,-0.3103,-0.8241,-0.422,-0.282,0.2711,1.0905,-1.2499,-5.8522
2020-08,0.1,-8.489,0.3497,-1.702,0.1482,-0.2289,-0.5986,0.4693,-0.6621,2.5724,0.0262,-3.8834
2020-09,0.1,-2.594,0.0761,1.6157,1.1704,-1.0309,-1.0466,0.4909,0.4763,1.3652,0.1918,0.9264
2020-10,0.1,0.0734,1.1738,-0.9382,1.7789,0.8699,-0.0423,1.8366,-0.2608,3.5746,-0.0016,0.6403
2020-11,0.1,4.0327,-3.9722,3.6038,-1.1033,1.4767,3.9113,0.573,-1.5421,1.3264,-4.0884,1.1747
2020-12,0.1,-4.1906,-1.1462,3.1487,-0.6527,-0.3032,-0.6184,-0.0001,-1.5237,-2.5976,2.0005,1.6675
2021-01,0.1,-3.6122,0.0767,0.972,-2.6318,-4.3342,-0.8689,1.4269,2.5231,0.9233,-0.0553,-1.8304
2021-02,0.1,5.8344,0.1283,-0.2124,0.2936,-3.198,-1.348,-1.2323,-1.129,2.2159,-1.4014,3.7311
2021-03,0.1,3.0366,2.2506,1.8895,2.5586,-1.0696,-5.1885,2.7341,0.5305,-2.5447,1.8198,1.9848
2021-04,0.1,6.4486,0.711,0.9311,-1.6553,-1.4375,1.7121,-0.6724,-0.8746,2.3747,2.2307,-0.0513
2021-05,0.1,6.495,-1.1788,3.2404,3.2925,0.6814,2.8499,2.0302,-2.6381,1.768,3.9849,-0.2036
2021-06,0.1,-1.0477,-3.3131,1.6395,2.6979,1.0162,0.0566,-2.8292,0.9874,0.8705,4.1207,-0.6919
2021-07,0.1,1.3173,-0.3392,0.2583,-2.2777,-1.5689,2.5737,3.4222,-0.6868,3.471,-2.5529,3.9442
2021-08,0.1,4.4582,-2.5103,2.6318,-1.7958,-0.4789,-0.1791,-1.2992,-2.337,2.7463,1.2303,-1.7343
2021-09,0.1,-1.8514,3.3581,2.3431,-0.9421,-0.3548,-0.9526,1.517,-3.6831,1.5186,-1.6693,0.2262
2021-10,0.1,-6.3897,-0.3765,2.0475,-2.3696,-5.1427,-0.7799,-0.3001,-2.5646,1.5298,-3.0559,-2.7578
2021-11,0.1,7.1623,-2.2483,-2.16,0.2491,2.4708,0.3228,-4.7209,-2.3184,-0.3388,2.3449,-4.1168
2021-12,0.1,3.1654,0.1008,0.976,0.485,2.4019,-0.2409,1.5621,-1.6078,-3.1274,-2.5895,-1.5814
2022-01,0.1,-0.7141,-0.4439,-2.7464,1.1689,-1.6175,-1.7636,0.0477,-0.9093,-1.6764,1.9299,1.6386
2022-02,0.1273,-4.9374,2.2819,-2.512,-1.4813,3.8354,-2.1432,-0.3157,-1.8866,0.4689,-1.3409,-2.3851
2022-03,0.1545,-2.6437,-3.313,0.2683,-1.9664,-0.0933,1.3984,2.2043,1.2576,-0.4282,-1.4423,-0.0002
2022-04,0.1818,-1.6931,1.0722,-0.7619,1.0308,-0.796,-3.1961,1.2669,-0.423,0.936,2.0404,0.7676
2022-05,0.2091,-12.1206,0.5829,-2.525,-3.5966,3.9944,0.8899,0.7046,-1.2279,1.0648,1.2558,-0.0857
2022-06,0.2364,-2.6399,-0.2204,3.8708,-0.4573,3.3717,0.2112,-0.8255,3.1479,-1.7087,-0.5686,1.0008
2022-07,0.2636,-0.3887,-0.0325,1.2335,1.2473,-0.8544,2.7889,2.7159,-1.4142,-1.4147,-1.1488,3.443
2022-08,0.2909,1.7867,-0.9077,-0.7204,-0.8611,-1.2872,-2.1512,4.1242,0.5844,1.2784,-2.0383,0.2592
2022-09,0.3182,-5.0195,-0.4019,-0.8304,0.7671,2.9821,-0.7163,1.9672,-1.1173,-1.0007,0.4996,4.3975
2022-10,0.3455,10.9421,3.118,3.5322,-0.4806,-1.4351,3.9489,-2.4699,5.3157,-0.5185,-0.4508,0.6399
2022-11,0.3727,5.8066,-1.1142,1.8121,3.909,2.8419,-2.7921,-0.1798,-1.9332,0.2834,-1.3828,-0.1346
2022-12,0.4,0.4372,-1.3458,2.1013,-3.3456,0.9483,0.1447,1.2346,0.9845,-3.2759,1.1484,1.0777
2023-01,0.4,6.7505,-2.8557,-0.3714,-0.6852,-1.9145,0.0843,-3.065,-2.6119,0.7405,-0.9399,-1.6467
2023-02,0.4,-5.1245,1.4852,0.2971,-2.4799,-1.4933,2.1865,-0.5097,-0.2504,-1.6343,-0.3735,3.2807
2023-03,0.4,-8.7627,0.067,1.3398,-1.5233,-1.1412,-1.7973,4.1964,-1.2382,1.316,0.0411,-0.1004
2023-04,0.4,3.2739,-2.3029,1.3604,-1.2112,-1.8233,-0.2062,3.9535,1.5675,0.1899,1.0542,-0.2935
2023-05,0.4,7.0728,-3.5192,1.5257,1.4117,-4.2686,1.8333,-3.3556,3.4074,1.1812,3.8724,0.2637
2023-06,0.4,-3.5616,0.8168,-1.0338,0.7387,3.025,-1.6742,1.4364,-0.1752,4.3422,1.7041,-2.2639
2023-07,0.4,1.8083,2.2602,1.1346,-4.2772,-0.9097,-1.5743,-1.2206,2.3575,-2.3548,2.6631,-2.364
2023-08,0.4,1.7305,0.8321,-1.9256,-0.7341,4.1648,0.0529,-0.5587,1.4876,-2.8737,0.8132,0.5935
2023-09,0.4,-3.4288,-2.4815,-0.5675,-1.0485,-0.5455,-0.0647,-1.6268,0.0809,-1.9617,1.3988,-2.0227
2023-10,0.4,-2.5015,1.6757,-0.0712,3.923,0.3517,0.0509,3.3594,-0.759,-1.3106,1.5608,1.741
2023-11,0.4,1.9729,-0.1261,-2.2555,-0.9539,-0.7319,5.1418,0.04,-0.9657,-0.247,0.3075,-1.6858
2023-12,0.4,6.2344,-0.3698,-0.0247,1.5222,0.6209,-2.8208,2.5814,-0.289,2.7935,-1.8979,0.1862
2024-01,0.4,-0.0144,2.4072,-2.1962,-1.7392,3.5345,2.2887,3.4021,-3.3861,-0.1434,-0.6343,0.5979
2024-02,0.4,5.9871,-1.4392,0.9067,-1.3867,0.5393,-1.2086,-2.0069,2.3749,0.6405,-0.2676,-2.518
2024-03,0.4,0.6989,0.2542,2.3193,0.6891,-0.7447,-2.7559,3.2269,2.6041,3.1974,-1.5377,-1.8943
2024-04,0.4,1.9761,2.5377,-1.1898,1.1954,1.1526,-0.7029,-4.2562,3.2824,-1.0226,1.7513,-1.1988
2024-05,0.4,6.5702,-0.9781,-0.8194,2.0798,2.5891,0.4344,1.4263,-0.7309,0.9861,2.3522,2.0985
2024-06,0.4,-6.473,2.7825,-3.4213,-0.5023,3.5232,1.5294,-2.0012,-0.4852,-2.3352,0.3835,1.0761
2024-07,0.4,-4.1288,-1.214,-0.1422,0.4594,-0.1925,-1.5173,1.3648,-0.2367,-1.445,-0.244,-0.8415
2024-08,0.4,0.7268,0.084,-0.845,0.3308,0.6286,0.0753,1.703,1.8262,-0.7018,1.8662,3.2264
2024-09,0.4,7.2143,1.5218,-3.2665,-1.1629,-1.3676,0.2872,-2.5721,1.0006,-0.522,1.1809,2.8883
2024-10,0.4,3.692,-1.7612,-0.6025,-2.5218,1.6201,-2.5097,-1.7407,-0.0711,2.9238,-2.999,-1.6335
2024-11,0.4,0.1607,1.9191,3.2476,-1.8736,-0.2964,-0.5695,-2.6065,2.4032,-0.7619,1.7442,-1.5121
2024-12,0.4,-1.7986,2.1545,-1.8874,-1.0058,-2.299,0.5696,0.452,2.1434,-0.8725,0.5818,0.7708
2025-01,0.4,1.0411,0.9063,0.4971,1.4054,2.4876,2.5218,1.2989,-1.9576,1.8504,-0.5417,1.7311
2025-02,0.4,3.1364,-1.0965,2.7826,-4.3074,1.396,-1.1376,-0.1525,0.3315,-0.0198,-0.7971,-0.619
2025-03,0.4,-3.4371,0.8599,1.528,-2.6729,-4.303,-0.665,-0.2813,-0.7121,-2.9691,-0.3854,-0.6112
2025-04,0.4,4.6142,-0.781,-0.1742,-0.0089,1.7996,2.0284,-0.0163,1.5612,0.7105,-2.0093,-1.7183
2025-05,0.4,1.1736,3.7256,2.834,-0.4659,-0.3919,-0.7285,-1.6955,-0.204,0.3684,0.6682,1.3086
2025-06,0.4,4.7257,1.5775,-1.8086,-1.5899,-1.3775,-1.9727,1.1927,-0.7995,0.3194,1.7849,0.5783
2025-07,0.4,-2.8047,0.9695,-0.625,1.0025,2.3962,0.6881,0.8514,-2.4177,2.5887,-3.261,2.3251
2025-08,0.4,-3.987,0.1504,-0.5308,2.6176,1.8001,-0.9138,2.5173,0.7578,-0.5119,2.1797,-3.5109
2025-09,0.4,3.2822,0.3623,0.0454,-1.6615,-0.9236,0.1016,-0.4473,1.1883,1.9397,-6.0607,-1.7228
2025-10,0.4,-5.996,-0.9751,-1.5108,3.1572,-1.5864,0.3634,1.9264,-1.7039,-1.7708,-0.988,0.1723
2025-11,0.4,-0.1493,1.7185,-3.907,-1.5203,2.5676,-1.9379,6.8984,-0.3026,-3.5494,-1.1772,-2.8256
2025-12,0.4,-4.5985,-1.2315,1.7963,-0.5502,0.7772,1.3738,-0.3733,-0.6134,0.1014,0.0413,-2.6488
