age,marital,education,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
32,single,professional.course,no,no,cellular,35,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
41,married,high.school,yes,yes,cellular,241,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
34,single,university.degree,yes,no,cellular,168,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
49,divorced,unknown,yes,yes,cellular,81,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,0
37,married,high.school,yes,no,cellular,226,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0
35,married,basic.6y,yes,no,cellular,746,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
38,single,basic.4y,no,no,telephone,41,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
47,divorced,high.school,no,no,telephone,115,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
46,married,university.degree,no,no,cellular,227,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
27,married,professional.course,yes,no,cellular,275,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
29,married,high.school,yes,no,cellular,365,3,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
32,divorced,basic.9y,no,no,cellular,68,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,married,basic.6y,no,no,cellular,54,1,999,2,failure,-1.8,92.893,-46.2,1.334,5099.1,0
29,married,basic.4y,yes,yes,cellular,93,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
47,married,high.school,no,no,cellular,267,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
44,married,basic.4y,yes,no,telephone,17,25,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
54,married,university.degree,yes,yes,cellular,121,11,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
36,married,basic.9y,no,no,telephone,294,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
42,married,basic.4y,yes,no,telephone,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
44,married,basic.4y,no,no,cellular,345,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
72,divorced,basic.6y,yes,no,cellular,244,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,1
48,married,basic.9y,no,no,cellular,213,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
36,married,high.school,yes,no,cellular,371,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
35,married,basic.4y,yes,no,cellular,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
43,married,basic.6y,yes,no,cellular,195,3,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,0
56,married,basic.4y,yes,no,cellular,102,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
42,married,basic.9y,yes,no,telephone,93,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
31,single,university.degree,yes,no,cellular,244,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
32,married,basic.9y,no,no,telephone,52,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
33,married,high.school,yes,yes,cellular,164,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,0
31,married,basic.6y,no,no,telephone,91,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
39,married,university.degree,yes,no,telephone,68,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
30,married,high.school,no,no,telephone,122,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,single,university.degree,yes,no,cellular,45,4,999,1,failure,-1.8,92.893,-46.2,1.27,5099.1,0
24,married,high.school,no,yes,telephone,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,married,professional.course,yes,no,telephone,162,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
26,married,high.school,yes,no,telephone,126,12,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
41,married,professional.course,no,no,telephone,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
34,married,high.school,yes,yes,cellular,329,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,married,university.degree,no,no,cellular,116,1,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,1
37,married,university.degree,yes,no,cellular,450,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
68,married,basic.4y,yes,no,cellular,665,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
31,single,high.school,no,no,cellular,168,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
48,divorced,university.degree,yes,no,cellular,132,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
33,married,professional.course,yes,no,telephone,349,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
59,single,university.degree,yes,no,telephone,249,3,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,0
44,married,unknown,yes,no,telephone,336,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
28,single,unknown,yes,no,telephone,169,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
50,married,university.degree,no,no,cellular,89,3,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,0
33,married,university.degree,no,no,cellular,55,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,married,professional.course,yes,no,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
40,married,university.degree,no,no,cellular,77,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
45,married,professional.course,no,no,telephone,64,18,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
43,divorced,university.degree,no,no,telephone,62,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
54,married,professional.course,yes,yes,telephone,198,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
53,divorced,professional.course,no,no,telephone,249,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
35,single,university.degree,yes,no,cellular,106,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
30,single,professional.course,yes,no,cellular,445,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
25,married,professional.course,yes,no,telephone,149,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
35,divorced,professional.course,no,yes,cellular,66,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
54,married,university.degree,yes,no,cellular,415,1,999,0,nonexistent,-1.8,92.843,-50,1.56,5099.1,1
30,married,basic.6y,no,no,cellular,173,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38,married,university.degree,yes,no,cellular,173,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
35,married,university.degree,yes,no,cellular,86,1,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,0
47,married,professional.course,yes,no,telephone,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
32,single,high.school,yes,no,cellular,523,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
27,married,basic.9y,yes,no,telephone,383,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
40,married,basic.9y,unknown,unknown,telephone,160,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,1
31,married,high.school,no,no,telephone,220,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,divorced,basic.9y,no,no,cellular,20,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
40,married,basic.6y,yes,no,cellular,160,4,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
31,single,high.school,yes,no,cellular,79,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
57,married,basic.4y,no,no,telephone,243,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
38,single,high.school,yes,no,cellular,882,1,6,1,success,-1.8,93.749,-34.6,0.659,5008.7,1
39,married,high.school,no,no,telephone,5,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
37,divorced,high.school,yes,yes,telephone,354,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
50,married,professional.course,yes,yes,cellular,225,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
33,single,basic.4y,yes,yes,cellular,460,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
41,married,basic.6y,unknown,unknown,telephone,202,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
37,married,basic.6y,unknown,unknown,telephone,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
25,single,high.school,no,no,cellular,54,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
35,married,high.school,no,no,cellular,451,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
46,married,university.degree,no,no,cellular,662,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
29,divorced,university.degree,no,no,telephone,187,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
35,married,university.degree,yes,no,cellular,82,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
48,single,professional.course,yes,no,cellular,606,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
31,single,university.degree,no,no,cellular,76,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,0
33,divorced,basic.9y,no,yes,telephone,18,6,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
63,divorced,university.degree,no,yes,cellular,317,1,999,1,failure,-2.9,92.469,-33.6,1.072,5076.2,0
38,married,high.school,yes,no,cellular,67,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
34,divorced,high.school,no,no,cellular,492,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,0
34,divorced,high.school,no,no,telephone,212,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
47,married,university.degree,yes,no,telephone,267,2,3,3,success,-1.8,93.876,-40,0.682,5008.7,0
27,single,basic.9y,yes,no,telephone,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,single,university.degree,no,no,cellular,744,1,999,2,failure,-1.7,94.027,-38.3,0.905,4991.6,1
36,married,basic.9y,yes,no,cellular,499,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
29,single,high.school,no,no,telephone,123,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
58,married,basic.9y,yes,no,telephone,198,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
40,married,professional.course,no,no,cellular,156,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
31,single,university.degree,yes,no,cellular,98,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
60,married,basic.4y,no,no,cellular,332,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
58,married,basic.4y,yes,no,telephone,35,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
32,single,basic.9y,yes,no,cellular,124,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
54,divorced,university.degree,no,no,telephone,213,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
43,married,professional.course,yes,no,cellular,145,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
48,married,basic.4y,no,no,telephone,145,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
33,married,university.degree,yes,no,cellular,195,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
37,married,basic.9y,no,no,telephone,179,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
35,divorced,professional.course,no,no,telephone,184,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,married,high.school,no,no,telephone,285,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
30,single,university.degree,yes,no,cellular,31,17,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
38,married,basic.9y,yes,no,telephone,306,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
29,divorced,professional.course,yes,no,cellular,14,5,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
49,married,university.degree,yes,no,cellular,334,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
48,divorced,university.degree,no,no,cellular,117,1,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,0
33,married,high.school,yes,no,cellular,155,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
33,single,university.degree,yes,yes,telephone,117,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
42,married,university.degree,no,no,telephone,206,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,married,university.degree,no,no,telephone,102,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,married,university.degree,yes,yes,cellular,157,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
46,married,university.degree,yes,no,telephone,311,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
55,divorced,basic.4y,no,yes,telephone,115,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
42,married,university.degree,yes,no,cellular,58,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
24,single,high.school,yes,no,cellular,290,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
49,married,basic.9y,yes,no,cellular,114,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
38,married,unknown,no,yes,cellular,311,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,married,university.degree,no,no,cellular,146,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
46,married,basic.4y,no,no,cellular,111,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
45,married,professional.course,yes,no,cellular,360,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
40,married,basic.9y,yes,no,cellular,106,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,divorced,basic.9y,no,no,telephone,423,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
31,single,basic.9y,no,no,telephone,350,7,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
57,married,basic.9y,yes,yes,telephone,122,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,married,university.degree,no,no,cellular,91,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
50,married,professional.course,unknown,unknown,cellular,319,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
32,single,high.school,yes,yes,cellular,120,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
38,single,university.degree,yes,no,cellular,82,2,999,0,nonexistent,-2.9,92.469,-33.6,0.914,5076.2,0
50,married,university.degree,unknown,unknown,cellular,801,1,999,1,failure,-1.8,93.876,-40,0.682,5008.7,0
42,married,basic.4y,yes,no,telephone,168,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
31,married,professional.course,yes,no,cellular,409,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
27,single,university.degree,yes,no,cellular,120,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,divorced,high.school,yes,no,telephone,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
26,single,high.school,yes,yes,telephone,127,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,single,high.school,yes,no,cellular,340,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,single,high.school,yes,no,cellular,169,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
64,married,unknown,no,no,cellular,252,4,999,0,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,1
36,married,university.degree,unknown,unknown,cellular,331,1,6,4,failure,-1.1,94.199,-37.5,0.876,4963.6,1
42,married,basic.4y,yes,no,telephone,191,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,single,high.school,no,no,cellular,122,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
40,divorced,high.school,no,no,cellular,1776,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,married,high.school,no,yes,cellular,362,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
31,married,basic.6y,yes,yes,telephone,237,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
49,single,university.degree,no,no,telephone,201,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35,divorced,basic.9y,no,no,cellular,169,7,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
60,married,unknown,no,yes,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,divorced,basic.9y,no,no,cellular,271,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,married,professional.course,no,no,cellular,125,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
50,married,basic.9y,yes,yes,cellular,673,6,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
41,married,university.degree,yes,no,cellular,961,6,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1
45,married,high.school,no,no,telephone,215,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,married,basic.6y,no,yes,telephone,179,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,married,basic.4y,yes,no,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,divorced,professional.course,yes,no,telephone,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
45,married,unknown,no,no,telephone,223,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,married,high.school,yes,no,cellular,66,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
42,married,high.school,no,no,cellular,252,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
39,married,university.degree,yes,no,telephone,167,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
58,married,unknown,yes,no,cellular,180,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,divorced,university.degree,yes,no,cellular,123,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,divorced,professional.course,yes,no,cellular,18,3,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0
49,married,professional.course,no,no,telephone,374,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
29,married,basic.6y,yes,no,cellular,108,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
51,married,university.degree,no,no,telephone,16,17,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
36,married,university.degree,yes,no,cellular,45,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
23,single,university.degree,yes,no,cellular,122,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
31,single,university.degree,yes,no,cellular,72,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
32,married,unknown,yes,no,cellular,107,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
58,divorced,professional.course,no,no,telephone,197,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,single,high.school,yes,no,cellular,21,20,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
32,married,professional.course,yes,no,cellular,160,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
43,married,high.school,no,no,cellular,319,4,3,2,success,-2.9,92.201,-31.4,0.873,5076.2,0
48,divorced,professional.course,yes,no,telephone,427,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
28,single,high.school,yes,no,cellular,270,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,unknown,professional.course,yes,no,telephone,7,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
36,married,university.degree,no,no,telephone,22,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
39,divorced,high.school,yes,yes,cellular,433,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
39,married,unknown,yes,no,telephone,49,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
50,married,university.degree,yes,no,telephone,258,1,999,1,failure,-3.4,92.431,-26.9,0.754,5017.5,0
29,single,university.degree,yes,no,cellular,190,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
49,divorced,professional.course,yes,no,cellular,130,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
36,married,basic.6y,no,no,cellular,130,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
29,married,basic.9y,yes,no,cellular,182,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
27,single,university.degree,no,no,telephone,259,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,married,basic.9y,yes,no,cellular,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
43,single,high.school,no,no,cellular,40,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,married,unknown,no,no,cellular,366,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,married,high.school,yes,no,cellular,399,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
56,married,basic.4y,no,no,telephone,133,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
38,married,high.school,unknown,unknown,telephone,23,16,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
35,married,basic.9y,no,no,telephone,170,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
30,single,university.degree,yes,no,cellular,83,1,999,2,failure,-2.9,92.201,-31.4,0.881,5076.2,0
46,married,university.degree,no,no,cellular,79,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
43,married,basic.9y,yes,no,cellular,93,4,999,2,failure,-1.8,92.893,-46.2,1.327,5099.1,0
38,married,university.degree,no,no,telephone,257,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
52,married,university.degree,yes,no,telephone,188,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
30,unknown,university.degree,no,no,cellular,131,2,16,1,success,-1.1,94.601,-49.5,0.942,4963.6,0
31,married,high.school,no,no,cellular,111,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
31,single,basic.4y,yes,no,cellular,73,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
24,single,professional.course,no,no,cellular,175,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
34,single,university.degree,yes,no,cellular,439,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
48,married,unknown,no,no,cellular,262,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
30,married,university.degree,yes,no,cellular,136,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
23,single,high.school,yes,no,cellular,150,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
20,single,high.school,no,no,telephone,598,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
43,divorced,high.school,no,no,cellular,96,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
26,single,high.school,no,no,cellular,298,2,999,2,failure,-1.8,92.893,-46.2,1.299,5099.1,0
58,single,basic.4y,no,no,telephone,170,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
26,single,university.degree,yes,no,cellular,104,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
35,married,high.school,yes,no,telephone,213,14,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
35,married,high.school,no,no,cellular,356,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
59,divorced,professional.course,no,no,cellular,206,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,1
54,married,basic.4y,no,no,telephone,102,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,divorced,basic.9y,yes,no,cellular,346,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,divorced,professional.course,no,no,telephone,53,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
52,married,high.school,no,no,cellular,81,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
52,married,university.degree,yes,no,cellular,67,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
