id,canton,property_type,living_area_m2,rooms,year_built,distance_center_km,energy_label,purchase_price,household_income,age,employment,years_client,loan_amount,rate_type,fixed_years,interest_rate,amortisation,origination_year,ltv,affordability,actual_burden,trouble_36m,reminders_sent
M00026,BE,house,181.0,6.5,1999,21.7,C,797000.0,123800.0,37,self_employed,6,508000.0,saron,0,0.92,indirect,2020,0.637,0.27,0.0378,0,0
M00027,ZH,apartment,99.0,4.0,1966,22.0,C,590000.0,133700.0,50,employed,6,385000.0,fixed,10,1.42,indirect,2019,0.653,0.188,0.0409,0,0
M00028,AG,house,138.0,5.5,2011,1.7,A,1251000.0,110100.0,41,employed,3,919000.0,saron,0,1.03,direct,2019,0.735,0.582,0.086,0,0
M00029,BE,house,141.0,5.0,1980,10.5,C,773000.0,124000.0,54,self_employed,2,496000.0,fixed,10,1.4,direct,2020,0.642,0.262,0.056,0,1
M00030,ZH,house,121.0,4.0,1933,2.8,F,1238000.0,251800.0,43,employed,2,890000.0,fixed,10,1.26,direct,2019,0.719,0.243,0.0445,0,0
M00031,ZH,apartment,86.0,3.5,1977,7.5,D,854000.0,188800.0,40,employed,0,769000.0,fixed,5,2.27,direct,2022,0.9,0.319,0.0925,0,0
M00032,SG,house,162.0,5.5,2021,10.8,A,867000.0,125900.0,25,employed,1,594000.0,saron,0,1.76,indirect,2022,0.685,0.313,0.083,0,0
M00033,SO,apartment,100.0,4.5,1967,0.8,C,628000.0,109800.0,43,self_employed,6,486000.0,fixed,5,1.01,direct,2019,0.774,0.319,0.0447,0,0
M00034,AG,apartment,97.0,3.5,2015,9.3,B,599000.0,180900.0,58,employed,1,363000.0,fixed,5,1.28,direct,2019,0.606,0.133,0.0257,0,0
M00035,BE,apartment,91.0,3.0,2015,6.5,C,674000.0,259900.0,55,employed,13,425000.0,fixed,5,0.97,direct,2020,0.631,0.108,0.0159,0,0
M00036,TG,house,191.0,7.0,2005,3.2,A,1271000.0,254300.0,50,employed,10,988000.0,saron,0,1.7,direct,2022,0.777,0.281,0.066,0,0
M00037,AG,house,148.0,5.5,2006,7.1,B,969000.0,147800.0,41,self_employed,7,485000.0,saron,0,1.62,indirect,2022,0.501,0.23,0.0532,0,0
M00038,BE,apartment,77.0,3.0,1940,23.5,D,273000.0,107600.0,70,retired,3,241000.0,fixed,10,1.34,direct,2019,0.883,0.174,0.03,1,5
M00039,SG,apartment,59.0,1.5,2002,4.8,B,346000.0,95200.0,58,employed,17,232000.0,fixed,10,2.39,direct,2022,0.671,0.159,0.0582,0,0
M00040,BE,apartment,107.0,3.0,2000,10.2,A,552000.0,149000.0,44,self_employed,4,409000.0,fixed,5,1.02,indirect,2019,0.741,0.193,0.028,0,0
M00041,LU,apartment,80.0,2.5,1921,2.6,F,595000.0,91200.0,45,employed,24,410000.0,fixed,10,1.48,indirect,2020,0.689,0.3,0.0665,0,0
M00042,BE,apartment,87.0,3.0,1970,40.0,C,220000.0,85100.0,56,employed,5,163000.0,fixed,5,2.33,indirect,2022,0.741,0.134,0.0446,0,0
M00043,ZH,house,145.0,4.0,1954,0.8,C,1719000.0,222300.0,43,self_employed,1,1072000.0,saron,0,1.15,direct,2021,0.624,0.318,0.0555,0,1
M00044,LU,house,113.0,4.0,1901,10.0,D,605000.0,186800.0,52,employed,4,393000.0,saron,0,1.52,indirect,2022,0.65,0.138,0.032,0,0
M00045,ZH,apartment,112.0,4.0,2007,3.7,A,1233000.0,199600.0,31,employed,9,978000.0,fixed,5,1.06,indirect,2021,0.793,0.359,0.0519,0,0
M00046,BE,house,113.0,5.0,1988,2.0,B,955000.0,73200.0,50,employed,6,682000.0,fixed,10,2.59,indirect,2022,0.714,0.638,0.2413,0,0
M00047,AG,apartment,100.0,4.0,1979,1.1,B,605000.0,142700.0,36,self_employed,1,431000.0,fixed,5,1.08,direct,2020,0.712,0.206,0.0326,0,0
M00048,ZH,apartment,98.0,3.0,1976,1.9,D,1219000.0,153900.0,34,employed,3,1019000.0,saron,0,0.85,direct,2019,0.836,0.5,0.0563,1,3
M00049,LU,house,144.0,4.5,2010,10.6,B,958000.0,148500.0,50,employed,1,602000.0,fixed,10,2.61,indirect,2022,0.628,0.267,0.1058,0,1
M00050,AG,house,145.0,5.5,1927,2.0,E,916000.0,171400.0,48,employed,3,539000.0,fixed,10,1.46,direct,2020,0.588,0.211,0.0459,0,0
M00051,AG,apartment,117.0,4.0,1992,0.8,B,774000.0,164600.0,37,employed,0,573000.0,fixed,10,1.45,direct,2020,0.74,0.244,0.0505,0,0
M00052,BE,apartment,85.0,3.0,2018,2.6,C,528000.0,205200.0,48,employed,4,338000.0,saron,0,0.94,direct,2021,0.64,0.108,0.0155,0,0
M00053,BE,apartment,114.0,4.0,2002,3.0,A,719000.0,175300.0,61,employed,4,405000.0,fixed,10,1.4,direct,2020,0.563,0.157,0.0323,0,0
M00054,BE,apartment,123.0,5.0,1987,3.0,A,868000.0,227800.0,38,employed,10,585000.0,fixed,5,1.14,indirect,2021,0.674,0.168,0.0293,0,0
M00055,BE,apartment,66.0,2.0,1965,5.1,D,356000.0,72000.0,51,employed,13,245000.0,fixed,5,0.98,direct,2021,0.688,0.227,0.0333,0,0
M00056,LU,house,208.0,8.0,1932,3.5,E,1320000.0,192900.0,53,employed,0,1037000.0,saron,0,1.05,indirect,2021,0.786,0.391,0.0564,0,0
M00057,AG,house,108.0,4.5,1972,29.4,B,479000.0,138900.0,54,employed,6,361000.0,saron,0,0.8,direct,2019,0.754,0.184,0.0208,0,0
M00058,BE,house,139.0,5.0,1939,1.7,D,873000.0,251300.0,54,employed,6,587000.0,saron,0,1.63,direct,2022,0.672,0.153,0.0381,0,0
M00059,ZH,apartment,82.0,3.0,2004,8.5,B,772000.0,147200.0,34,employed,3,542000.0,fixed,10,1.36,direct,2020,0.702,0.249,0.0501,0,0
M00060,SO,apartment,92.0,3.5,1980,12.5,C,370000.0,102900.0,55,employed,1,266000.0,fixed,10,1.28,direct,2019,0.719,0.178,0.0331,0,0
M00061,AG,apartment,126.0,5.0,1959,1.6,D,688000.0,123200.0,43,employed,7,505000.0,fixed,5,1.1,direct,2019,0.734,0.286,0.0451,0,0
M00062,BE,house,177.0,6.5,1934,6.2,E,932000.0,191300.0,43,employed,3,397000.0,saron,0,0.91,direct,2019,0.426,0.152,0.0189,0,1
M00063,BE,house,185.0,6.5,2007,19.1,C,880000.0,246500.0,51,employed,14,556000.0,saron,0,1.13,direct,2020,0.632,0.148,0.0255,0,0
M00064,ZH,apartment,97.0,3.0,1918,6.6,G,839000.0,215000.0,49,employed,8,707000.0,saron,0,0.6,direct,2019,0.843,0.249,0.0197,0,0
M00065,SG,house,131.0,5.5,1923,0.3,E,996000.0,200800.0,47,employed,1,649000.0,saron,0,0.79,indirect,2019,0.652,0.211,0.0255,0,0
M00066,TG,house,224.0,7.5,1986,9.9,A,1490000.0,157200.0,37,employed,1,1114000.0,fixed,5,1.03,direct,2019,0.748,0.5,0.073,0,0
M00067,ZH,house,146.0,5.0,2001,1.9,B,1771000.0,176500.0,62,self_employed,2,1316000.0,fixed,10,2.57,direct,2022,0.743,0.524,0.1916,0,1
M00068,BE,apartment,116.0,4.0,1994,4.5,C,813000.0,126500.0,54,employed,1,643000.0,fixed,5,2.2,indirect,2022,0.791,0.372,0.1118,0,0
M00069,LU,house,234.0,7.5,2009,1.0,B,1898000.0,258300.0,47,employed,0,1210000.0,fixed,5,1.22,indirect,2021,0.638,0.308,0.0572,0,1
M00070,BE,house,233.0,8.0,2000,3.3,C,1868000.0,215100.0,53,employed,1,1146000.0,fixed,10,1.27,direct,2021,0.613,0.353,0.0677,0,1
M00071,AG,apartment,129.0,4.0,1918,9.0,F,647000.0,243800.0,42,employed,21,464000.0,fixed,5,2.31,indirect,2022,0.717,0.131,0.044,0,0
M00072,BE,apartment,131.0,4.5,1942,0.3,E,875000.0,163400.0,31,employed,3,596000.0,fixed,5,1.06,direct,2021,0.681,0.241,0.0387,0,1
M00073,SO,house,142.0,4.0,1922,0.4,D,824000.0,122400.0,50,employed,1,582000.0,saron,0,0.81,direct,2019,0.706,0.323,0.0385,0,0
M00074,TG,apartment,121.0,4.0,1932,14.2,D,529000.0,105700.0,39,employed,4,394000.0,saron,0,0.83,direct,2020,0.745,0.262,0.0309,0,0
M00075,SG,house,198.0,7.0,1956,1.2,A,1096000.0,122800.0,43,employed,1,718000.0,fixed,10,1.39,direct,2021,0.655,0.382,0.0813,0,1
M00076,AG,apartment,140.0,4.5,1923,0.7,E,941000.0,210600.0,38,self_employed,3,508000.0,fixed,5,1.03,indirect,2020,0.54,0.165,0.0248,0,0
M00077,ZH,apartment,118.0,4.5,1905,0.3,F,1192000.0,215700.0,44,employed,7,891000.0,saron,0,1.47,indirect,2022,0.747,0.292,0.0607,0,0
M00078,TG,house,117.0,3.5,1946,21.1,B,472000.0,101100.0,41,employed,13,310000.0,saron,0,0.66,direct,2021,0.657,0.2,0.0202,0,1
M00079,ZH,house,142.0,5.5,1900,0.6,F,1314000.0,174900.0,25,employed,5,852000.0,fixed,5,1.07,direct,2021,0.648,0.319,0.0521,0,0
M00080,ZH,house,155.0,5.5,2020,12.2,A,1463000.0,214700.0,36,employed,5,1011000.0,saron,0,1.71,direct,2022,0.691,0.315,0.0805,0,0
M00081,ZH,house,179.0,6.5,1994,4.1,C,2069000.0,267300.0,41,employed,3,1679000.0,saron,0,0.9,direct,2020,0.812,0.466,0.0565,0,0
M00082,LU,apartment,104.0,3.5,1989,2.1,B,891000.0,146600.0,35,employed,2,424000.0,saron,0,0.98,direct,2021,0.476,0.205,0.0283,0,0
M00083,BE,apartment,83.0,3.0,2000,4.5,D,604000.0,103200.0,41,employed,9,413000.0,fixed,5,1.18,direct,2019,0.684,0.265,0.0472,0,0
M00084,ZH,house,161.0,5.0,1901,1.7,G,1767000.0,220900.0,30,employed,1,1533000.0,fixed,5,1.28,direct,2020,0.868,0.534,0.0888,0,0
M00085,ZH,apartment,76.0,2.5,1915,3.6,B,855000.0,195300.0,34,employed,2,627000.0,fixed,10,1.48,indirect,2019,0.733,0.224,0.0475,0,0
M00086,AG,house,116.0,4.0,1946,4.8,D,754000.0,106700.0,25,employed,2,528000.0,saron,0,1.38,indirect,2022,0.7,0.334,0.0683,1,7
M00087,BE,apartment,120.0,4.5,1935,11.7,G,584000.0,182200.0,49,employed,8,457000.0,fixed,5,0.99,direct,2019,0.783,0.182,0.0248,0,0
M00088,AG,apartment,112.0,3.5,1999,1.6,E,773000.0,159500.0,43,employed,7,474000.0,saron,0,1.69,indirect,2022,0.613,0.197,0.0502,0,0
M00089,AG,house,94.0,3.5,1955,1.3,D,790000.0,174600.0,33,employed,3,711000.0,saron,0,0.8,direct,2020,0.9,0.319,0.0326,0,0
M00090,SG,house,153.0,5.5,1977,2.4,B,791000.0,132800.0,36,employed,2,563000.0,fixed,10,1.29,direct,2021,0.712,0.289,0.0547,0,1
M00091,SG,apartment,77.0,2.5,1901,3.9,E,444000.0,125000.0,39,employed,1,264000.0,fixed,10,1.07,indirect,2020,0.595,0.141,0.0226,0,0
M00092,ZH,apartment,48.0,1.5,1992,14.4,A,469000.0,124700.0,54,employed,30,348000.0,fixed,5,1.03,direct,2020,0.742,0.196,0.0287,0,0
M00093,TG,house,135.0,4.0,2005,1.0,B,933000.0,362000.0,26,self_employed,1,792000.0,fixed,10,2.52,direct,2022,0.849,0.166,0.0551,0,0
M00094,SO,apartment,126.0,5.0,2000,1.1,C,551000.0,158500.0,42,self_employed,3,485000.0,saron,0,1.69,direct,2022,0.88,0.237,0.0517,1,7
M00095,AG,house,161.0,5.5,1914,3.9,D,1219000.0,249000.0,44,employed,1,833000.0,saron,0,0.88,direct,2019,0.683,0.222,0.0294,0,0
M00096,LU,house,109.0,4.0,1938,5.0,E,780000.0,197200.0,31,employed,2,611000.0,fixed,5,1.09,indirect,2021,0.783,0.225,0.0338,0,0
M00097,AG,house,143.0,4.5,2016,8.1,B,916000.0,197000.0,53,employed,2,614000.0,fixed,10,1.41,direct,2021,0.67,0.203,0.0439,0,0
M00098,SG,apartment,102.0,4.0,2017,3.9,A,817000.0,155100.0,45,employed,4,497000.0,saron,0,0.99,direct,2020,0.608,0.213,0.0317,0,0
M00099,ZH,house,119.0,4.0,2011,4.2,C,1569000.0,172100.0,40,employed,8,1137000.0,fixed,10,1.36,indirect,2019,0.725,0.457,0.0899,0,0
M00100,AG,house,115.0,4.0,1970,5.2,D,636000.0,94400.0,49,employed,0,447000.0,fixed,5,1.07,direct,2019,0.703,0.32,0.0507,0,0
M00101,SO,apartment,80.0,2.5,1916,6.0,E,374000.0,98200.0,48,self_employed,1,220000.0,saron,0,1.6,indirect,2022,0.588,0.15,0.0358,0,0
M00102,ZH,house,159.0,5.0,1927,5.3,D,1603000.0,212200.0,33,employed,19,1364000.0,fixed,5,1.13,indirect,2020,0.851,0.49,0.0726,0,1
M00103,AG,apartment,112.0,5.0,1969,2.0,C,687000.0,125800.0,36,employed,0,424000.0,fixed,10,1.37,indirect,2021,0.617,0.223,0.0462,0,0
M00104,BE,apartment,99.0,3.5,1967,11.6,D,432000.0,180200.0,40,employed,5,242000.0,saron,0,1.53,direct,2022,0.56,0.091,0.0205,0,1
M00105,SO,apartment,110.0,5.0,1925,4.4,F,543000.0,153800.0,44,employed,5,284000.0,saron,0,1.05,indirect,2019,0.523,0.128,0.0194,0,1
M00106,ZH,apartment,98.0,4.0,1978,2.4,C,1067000.0,198300.0,69,retired,0,654000.0,fixed,10,2.63,direct,2022,0.613,0.219,0.0867,1,1
M00107,AG,apartment,83.0,3.5,2008,2.6,B,640000.0,156800.0,35,employed,5,419000.0,saron,0,1.54,direct,2022,0.655,0.174,0.0412,0,0
M00108,SG,apartment,142.0,4.0,2005,35.8,B,569000.0,89700.0,25,employed,1,380000.0,saron,0,0.84,direct,2021,0.668,0.276,0.0356,0,0
M00109,AG,house,161.0,6.0,2017,5.2,B,1512000.0,167600.0,64,employed,1,869000.0,saron,0,0.96,direct,2021,0.575,0.349,0.0498,0,0
M00110,BE,apartment,64.0,1.5,1908,4.6,E,418000.0,104900.0,51,employed,1,234000.0,fixed,5,2.32,direct,2022,0.56,0.151,0.0518,0,0
M00111,LU,apartment,93.0,3.5,2009,1.4,A,798000.0,179700.0,60,employed,7,643000.0,fixed,5,2.3,indirect,2022,0.806,0.264,0.0823,0,1
M00112,BE,apartment,71.0,2.5,1956,6.8,E,326000.0,69700.0,63,employed,23,233000.0,fixed,5,0.96,indirect,2021,0.715,0.229,0.0321,0,0
M00113,LU,apartment,116.0,4.0,2012,5.2,A,917000.0,163200.0,47,employed,1,521000.0,saron,0,0.94,indirect,2020,0.568,0.216,0.03,0,1
M00114,ZH,apartment,125.0,4.0,1945,3.2,E,1161000.0,176600.0,51,employed,3,739000.0,fixed,10,1.37,indirect,2020,0.637,0.275,0.0573,0,0
M00115,ZH,apartment,79.0,3.0,2015,3.1,B,1031000.0,268100.0,37,employed,1,838000.0,fixed,10,2.61,direct,2022,0.813,0.232,0.0816,0,1
M00116,ZH,apartment,98.0,3.0,1989,2.9,B,904000.0,65900.0,49,employed,1,756000.0,saron,0,1.57,direct,2022,0.836,0.866,0.1801,1,3
M00117,ZH,house,190.0,6.5,2007,2.0,A,2542000.0,192200.0,25,employed,2,1592000.0,fixed,5,1.15,direct,2020,0.626,0.546,0.0953,0,0
M00118,AG,house,178.0,6.0,1994,2.7,D,1380000.0,180200.0,69,retired,3,911000.0,fixed,10,2.55,direct,2022,0.66,0.329,0.1289,1,4
M00119,ZH,apartment,103.0,4.0,1911,5.6,D,871000.0,140300.0,49,employed,10,532000.0,saron,0,0.99,direct,2019,0.611,0.252,0.0375,0,0
M00120,AG,house,184.0,6.5,2014,14.1,A,997000.0,231400.0,45,employed,3,658000.0,fixed,5,1.08,direct,2020,0.66,0.185,0.0307,0,0
M00121,LU,apartment,113.0,5.0,2022,2.7,A,996000.0,165600.0,37,employed,1,587000.0,fixed,5,1.07,direct,2020,0.589,0.237,0.0379,0,0
M00122,SG,house,116.0,4.5,1941,0.4,D,899000.0,189100.0,26,employed,2,548000.0,saron,0,0.77,direct,2021,0.61,0.192,0.0223,0,0
M00123,BE,apartment,85.0,2.5,1998,12.8,C,375000.0,86000.0,55,employed,11,217000.0,fixed,10,1.4,direct,2021,0.579,0.17,0.0353,0,0
M00124,BE,apartment,107.0,4.0,2008,10.5,C,680000.0,115300.0,44,employed,23,503000.0,fixed,10,2.57,direct,2022,0.74,0.306,0.1121,0,1
M00125,BE,house,172.0,7.0,1919,1.6,G,1184000.0,289500.0,43,employed,12,1033000.0,saron,0,1.76,direct,2022,0.872,0.275,0.0628,0,0
M00126,ZH,house,203.0,7.5,1952,1.6,B,2901000.0,222300.0,42,employed,30,1647000.0,fixed,10,1.28,indirect,2021,0.568,0.501,0.0948,0,0
M00127,LU,apartment,76.0,1.5,1968,2.2,B,781000.0,156000.0,49,employed,17,496000.0,fixed,10,1.28,direct,2019,0.635,0.209,0.0407,0,0
M00128,SO,house,107.0,3.5,1945,0.5,D,499000.0,159300.0,29,employed,25,327000.0,fixed,5,2.47,indirect,2022,0.655,0.134,0.0507,0,0
M00129,BE,apartment,145.0,5.5,1989,0.3,A,832000.0,131900.0,39,employed,3,669000.0,fixed,10,2.59,indirect,2022,0.804,0.374,0.1314,0,0
M00130,AG,house,128.0,4.5,2005,4.4,A,787000.0,113500.0,57,employed,15,557000.0,fixed,10,1.36,direct,2021,0.708,0.334,0.0667,0,1
M00131,TG,house,184.0,6.0,1980,8.6,A,907000.0,131800.0,37,employed,1,488000.0,fixed,5,2.26,direct,2022,0.538,0.254,0.0837,0,0
M00132,LU,apartment,60.0,1.5,1959,8.0,E,452000.0,154500.0,52,employed,0,292000.0,saron,0,1.53,indirect,2022,0.646,0.124,0.0289,0,0
M00133,LU,apartment,127.0,4.5,1974,10.7,C,990000.0,115100.0,51,employed,0,737000.0,fixed,10,2.68,direct,2022,0.744,0.451,0.1716,0,0
M00134,SG,house,135.0,4.5,1934,2.2,C,762000.0,101500.0,52,employed,2,514000.0,fixed,5,1.02,direct,2020,0.675,0.332,0.0517,0,0
M00135,ZH,house,225.0,7.5,2000,5.4,D,2332000.0,145200.0,51,employed,8,1637000.0,saron,0,0.63,indirect,2019,0.702,0.762,0.071,0,0
M00136,LU,house,160.0,6.0,1955,2.4,D,1170000.0,211500.0,38,employed,8,914000.0,fixed,10,2.7,direct,2022,0.781,0.314,0.1167,0,0
M00137,LU,house,149.0,5.5,2008,6.0,B,1389000.0,212000.0,46,self_employed,0,1150000.0,saron,0,0.81,indirect,2020,0.828,0.407,0.0439,1,3
M00138,SG,apartment,107.0,4.5,2011,14.1,C,482000.0,71800.0,35,employed,11,290000.0,fixed,10,2.6,direct,2022,0.602,0.269,0.105,0,0
M00139,BE,apartment,78.0,3.0,1981,1.6,B,587000.0,140500.0,66,retired,0,416000.0,fixed,10,1.07,direct,2020,0.709,0.202,0.0317,0,0
M00140,LU,house,175.0,6.5,1962,22.3,B,850000.0,111600.0,30,employed,1,646000.0,fixed,5,1.17,direct,2019,0.76,0.413,0.0677,0,1
M00141,AG,house,125.0,4.5,1977,16.5,C,546000.0,167800.0,62,retired,10,399000.0,saron,0,0.99,direct,2019,0.731,0.165,0.0235,0,0
M00142,BE,house,202.0,7.0,2001,10.3,C,1309000.0,214800.0,51,employed,15,1037000.0,fixed,5,0.95,indirect,2021,0.792,0.353,0.0459,0,0
M00143,ZH,house,140.0,5.0,2015,9.3,A,1747000.0,244400.0,45,employed,1,1294000.0,fixed,5,1.05,direct,2021,0.741,0.371,0.0556,0,0
M00144,BE,apartment,127.0,3.5,2005,9.3,C,668000.0,165200.0,44,employed,5,374000.0,saron,0,1.15,direct,2019,0.56,0.154,0.026,0,0
M00145,TG,house,148.0,6.0,2006,0.4,B,1370000.0,161800.0,62,employed,24,862000.0,fixed,5,2.38,direct,2022,0.629,0.351,0.1268,0,0
M00146,ZH,house,154.0,6.5,2003,1.2,A,1560000.0,167300.0,38,employed,0,1040000.0,fixed,5,1.33,direct,2019,0.667,0.404,0.0827,0,0
M00147,ZH,house,165.0,5.0,1983,39.2,B,920000.0,182100.0,33,employed,11,612000.0,fixed,5,2.16,indirect,2022,0.665,0.219,0.0726,0,0
M00148,BE,house,124.0,4.5,1959,4.4,B,927000.0,235700.0,47,employed,4,706000.0,fixed,10,2.39,direct,2022,0.762,0.214,0.0716,0,0
M00149,ZH,apartment,85.0,2.5,2001,1.7,B,943000.0,168100.0,28,self_employed,3,647000.0,saron,0,0.71,indirect,2020,0.686,0.256,0.0273,1,4
M00150,ZH,house,115.0,3.5,1919,5.0,F,1305000.0,194300.0,49,employed,7,958000.0,fixed,10,1.4,indirect,2021,0.734,0.344,0.069,0,0
M00151,SG,house,147.0,5.0,1950,2.7,C,1012000.0,111200.0,43,employed,1,677000.0,fixed,10,1.19,indirect,2020,0.669,0.397,0.0724,0,0
M00152,BE,apartment,109.0,3.0,1906,14.9,F,527000.0,126200.0,45,employed,2,399000.0,fixed,10,1.6,direct,2021,0.757,0.225,0.0506,0,0
M00153,AG,apartment,85.0,3.0,2009,11.2,B,588000.0,100300.0,43,employed,2,416000.0,saron,0,0.97,direct,2021,0.707,0.282,0.0402,0,2
M00154,ZH,house,119.0,4.0,1979,6.3,B,1115000.0,164500.0,29,employed,9,762000.0,fixed,5,1.25,direct,2019,0.683,0.307,0.0579,0,0
M00155,LU,house,196.0,7.0,1915,3.9,E,1751000.0,160700.0,60,employed,18,1399000.0,fixed,5,1.09,direct,2019,0.799,0.64,0.0949,0,0
M00156,ZH,apartment,88.0,3.5,1970,3.7,B,1010000.0,162700.0,52,employed,12,580000.0,fixed,10,1.18,indirect,2019,0.574,0.24,0.0421,0,0
M00157,SO,apartment,69.0,2.0,2015,3.6,A,398000.0,116300.0,31,employed,1,295000.0,saron,0,1.39,direct,2022,0.741,0.178,0.0353,0,0
M00158,BE,house,168.0,6.5,1905,11.1,F,890000.0,176300.0,49,self_employed,7,490000.0,fixed,10,1.38,direct,2021,0.551,0.189,0.0384,0,2
M00159,ZH,apartment,107.0,3.5,1973,3.2,D,879000.0,169800.0,42,employed,6,400000.0,fixed,10,1.71,direct,2019,0.455,0.17,0.0403,0,0
M00160,SO,house,126.0,5.0,1933,3.2,F,650000.0,183700.0,40,self_employed,8,425000.0,saron,0,0.96,direct,2019,0.654,0.151,0.0222,0,0
M00161,AG,house,120.0,4.0,1944,12.1,F,826000.0,144400.0,29,employed,3,618000.0,fixed,10,2.72,direct,2022,0.748,0.302,0.1164,0,0
M00162,BE,apartment,61.0,2.0,1932,0.9,D,360000.0,84500.0,33,employed,25,291000.0,fixed,10,1.38,direct,2020,0.808,0.255,0.0475,0,0
M00163,ZH,apartment,85.0,4.0,1978,3.6,E,821000.0,138100.0,41,employed,17,622000.0,fixed,10,1.45,indirect,2019,0.758,0.321,0.0653,0,0
M00164,SO,house,109.0,4.0,1990,16.7,C,517000.0,136200.0,42,employed,4,383000.0,fixed,5,1.06,direct,2019,0.741,0.197,0.0298,0,0
M00165,BE,house,174.0,6.5,2003,4.5,B,1088000.0,159800.0,34,self_employed,9,837000.0,saron,0,1.05,direct,2021,0.769,0.377,0.055,0,0
M00166,ZH,house,191.0,7.5,2007,5.5,A,2317000.0,212400.0,57,employed,2,2036000.0,fixed,10,2.63,direct,2022,0.879,0.743,0.2521,0,1
