id,canton,property_type,living_area_m2,rooms,year_built,distance_center_km,energy_label,purchase_price,household_income,age,employment,years_client,loan_amount,rate_type,fixed_years,interest_rate,amortisation,origination_year,ltv,affordability,actual_burden
A00055,BE,apartment,128.0,5.5,1946,6.6,E,591000.0,151800.0,55,employed,2,428000.0,fixed,10,1.82,indirect,2026,0.724,0.195,0.0513
A00056,BE,apartment,120.0,4.0,1977,4.8,D,676000.0,71300.0,41,self_employed,2,506000.0,fixed,10,1.56,direct,2026,0.749,0.501,0.1107
A00057,ZH,apartment,136.0,5.0,2013,5.1,C,1272000.0,155200.0,54,employed,4,885000.0,fixed,10,1.56,direct,2026,0.696,0.383,0.089
A00058,SG,apartment,124.0,4.0,1930,4.7,D,755000.0,137500.0,32,employed,3,551000.0,fixed,10,1.83,direct,2026,0.73,0.278,0.0733
A00059,ZH,apartment,63.0,2.0,1927,0.5,E,547000.0,140000.0,39,employed,1,457000.0,fixed,10,1.75,indirect,2026,0.835,0.246,0.0571
A00060,BE,house,150.0,5.0,1973,12.4,D,722000.0,92000.0,51,employed,0,392000.0,fixed,5,1.34,direct,2026,0.543,0.292,0.0571
A00061,AG,house,120.0,4.0,1909,8.9,E,698000.0,134200.0,40,employed,0,573000.0,fixed,5,1.45,direct,2026,0.821,0.319,0.0619
A00062,BE,apartment,73.0,2.0,1960,3.5,D,366000.0,79800.0,68,retired,3,281000.0,fixed,5,1.5,indirect,2026,0.768,0.253,0.0528
A00063,ZH,house,102.0,4.5,1960,3.7,D,1217000.0,158500.0,44,employed,15,875000.0,saron,0,1.05,direct,2026,0.719,0.38,0.058
A00064,BE,apartment,115.0,4.5,2006,1.2,B,819000.0,168700.0,38,employed,2,514000.0,fixed,10,1.65,indirect,2026,0.628,0.201,0.0503
A00065,ZH,apartment,107.0,3.5,1917,10.7,E,794000.0,106200.0,47,employed,6,531000.0,fixed,10,1.69,direct,2026,0.669,0.326,0.0845
A00066,AG,house,132.0,5.5,1995,12.1,C,811000.0,112500.0,25,employed,4,458000.0,fixed,5,1.51,direct,2026,0.565,0.276,0.0615
A00067,SG,apartment,83.0,3.0,1979,6.6,B,406000.0,117900.0,37,employed,16,294000.0,saron,0,0.88,indirect,2026,0.724,0.172,0.0219
A00068,AG,apartment,86.0,3.5,1998,11.1,D,540000.0,155800.0,34,self_employed,2,382000.0,fixed,10,1.72,indirect,2026,0.707,0.167,0.0422
A00069,SG,house,149.0,5.0,1962,19.5,D,667000.0,109600.0,60,employed,1,405000.0,fixed,10,1.95,direct,2026,0.607,0.246,0.0721
A00070,BE,house,153.0,5.5,1902,6.9,F,925000.0,121200.0,42,self_employed,1,702000.0,saron,0,0.79,indirect,2026,0.759,0.413,0.0458
A00071,SG,apartment,130.0,5.5,2005,12.5,D,680000.0,161300.0,34,employed,4,593000.0,saron,0,0.87,direct,2026,0.872,0.284,0.032
A00072,ZH,house,114.0,4.0,2020,8.0,A,1310000.0,247000.0,36,employed,3,1049000.0,fixed,10,1.65,direct,2026,0.801,0.313,0.0701
A00073,SG,house,194.0,7.5,2001,4.7,C,1470000.0,185400.0,33,employed,18,886000.0,fixed,10,1.66,indirect,2026,0.603,0.318,0.0793
A00074,BE,house,102.0,4.0,1962,0.7,D,680000.0,106600.0,47,employed,9,497000.0,fixed,5,1.45,direct,2026,0.731,0.324,0.0676
A00075,SO,apartment,80.0,4.0,2004,3.4,B,464000.0,99500.0,52,employed,2,319000.0,fixed,5,1.41,direct,2026,0.688,0.213,0.0452
A00076,BE,house,150.0,5.5,1991,15.5,C,739000.0,151000.0,45,self_employed,8,577000.0,saron,0,1.2,direct,2026,0.781,0.277,0.0459
A00077,SG,apartment,80.0,3.0,1970,2.1,C,474000.0,106500.0,47,employed,2,297000.0,fixed,10,1.79,direct,2026,0.627,0.184,0.0499
A00078,TG,house,105.0,3.5,1971,2.6,E,684000.0,112300.0,47,employed,5,561000.0,saron,0,1.29,direct,2026,0.82,0.373,0.0644
A00079,SG,apartment,90.0,3.0,1958,11.4,D,562000.0,61900.0,55,employed,10,430000.0,saron,0,1.15,direct,2026,0.765,0.498,0.0799
A00080,SG,apartment,109.0,3.5,2013,0.3,A,830000.0,149700.0,43,employed,2,480000.0,fixed,10,1.96,indirect,2026,0.578,0.216,0.0628
A00081,BE,apartment,104.0,3.0,1925,10.4,E,411000.0,128400.0,48,employed,9,300000.0,saron,0,1.07,indirect,2026,0.73,0.162,0.025
A00082,ZH,apartment,79.0,3.0,2013,5.2,B,802000.0,80300.0,51,employed,5,527000.0,saron,0,0.93,indirect,2026,0.657,0.428,0.061
A00083,SG,apartment,85.0,3.0,1984,4.4,C,700000.0,154900.0,25,self_employed,30,497000.0,saron,0,0.95,direct,2026,0.71,0.219,0.0305
A00084,SG,apartment,134.0,5.0,1980,20.7,B,431000.0,85800.0,43,employed,4,243000.0,saron,0,0.89,direct,2026,0.564,0.192,0.0252
A00085,TG,house,139.0,4.5,1981,0.5,C,892000.0,216600.0,56,employed,15,572000.0,fixed,10,1.61,direct,2026,0.641,0.173,0.0425
A00086,BE,apartment,78.0,2.5,2010,3.9,A,532000.0,140300.0,46,employed,5,424000.0,fixed,10,1.9,direct,2026,0.797,0.222,0.0574
A00087,TG,apartment,131.0,4.5,1965,8.8,C,699000.0,113900.0,43,employed,16,568000.0,fixed,5,1.37,direct,2026,0.813,0.37,0.0683
A00088,BE,house,164.0,5.5,1960,0.9,D,1090000.0,170900.0,64,employed,2,757000.0,fixed,10,2.05,indirect,2026,0.694,0.297,0.0908
A00089,ZH,apartment,91.0,2.0,1939,2.6,B,918000.0,149100.0,50,employed,2,643000.0,fixed,10,1.86,direct,2026,0.7,0.291,0.0802
A00090,BE,apartment,128.0,4.5,2019,19.7,A,527000.0,134900.0,38,employed,3,241000.0,fixed,5,1.55,direct,2026,0.457,0.128,0.0277
A00091,SG,house,179.0,6.5,1974,5.7,C,912000.0,125000.0,63,employed,2,556000.0,saron,0,0.79,indirect,2026,0.61,0.295,0.0351
A00092,SG,house,125.0,4.5,1934,0.3,D,987000.0,254800.0,42,self_employed,4,670000.0,fixed,5,1.47,direct,2026,0.679,0.173,0.0387
A00093,ZH,house,168.0,5.5,2010,5.1,A,2415000.0,195200.0,39,employed,2,1499000.0,fixed,10,1.9,direct,2026,0.621,0.508,0.1459
A00094,SG,house,207.0,7.0,2000,5.9,C,1433000.0,131500.0,36,employed,3,667000.0,fixed,10,1.66,indirect,2026,0.465,0.363,0.0842
A00095,ZH,apartment,106.0,4.5,1901,32.4,E,509000.0,132500.0,45,self_employed,2,375000.0,saron,0,0.84,direct,2026,0.737,0.198,0.0238
A00096,SG,apartment,99.0,4.0,1934,2.7,F,605000.0,99100.0,44,employed,6,527000.0,saron,0,1.22,direct,2026,0.871,0.41,0.0649
A00097,TG,house,123.0,5.0,1924,10.7,F,656000.0,238900.0,55,self_employed,2,483000.0,fixed,5,1.6,indirect,2026,0.736,0.141,0.0323
A00098,LU,apartment,106.0,3.5,1970,17.4,C,466000.0,124900.0,43,employed,7,261000.0,fixed,10,1.99,indirect,2026,0.56,0.142,0.0416
A00099,ZH,apartment,141.0,5.5,1908,1.4,F,1876000.0,199000.0,33,employed,2,1431000.0,fixed,10,1.93,direct,2026,0.763,0.514,0.1388
A00100,ZH,house,132.0,5.0,2017,7.9,A,1592000.0,349400.0,43,employed,27,1216000.0,fixed,5,1.65,indirect,2026,0.764,0.249,0.0574
A00101,AG,apartment,102.0,4.0,1994,15.2,C,612000.0,108600.0,50,employed,3,397000.0,fixed,10,1.49,indirect,2026,0.649,0.239,0.0545
A00102,ZH,apartment,107.0,4.0,1996,17.2,A,897000.0,128900.0,52,employed,9,644000.0,fixed,5,1.4,indirect,2026,0.718,0.343,0.0699
A00103,AG,house,134.0,5.0,1910,11.6,F,872000.0,95100.0,41,employed,4,674000.0,saron,0,0.95,direct,2026,0.773,0.511,0.0673
A00104,BE,house,133.0,4.5,1976,5.6,C,913000.0,174300.0,40,self_employed,2,739000.0,fixed,10,1.79,indirect,2026,0.809,0.314,0.0759
A00105,SG,apartment,116.0,4.5,2003,14.7,A,656000.0,160800.0,61,self_employed,8,443000.0,saron,0,1.1,indirect,2026,0.675,0.181,0.0303
A00106,AG,apartment,104.0,4.5,2000,13.2,C,537000.0,139800.0,41,employed,3,380000.0,fixed,10,1.76,direct,2026,0.708,0.185,0.0478
A00107,TG,house,182.0,8.0,1904,2.4,G,1142000.0,213000.0,56,employed,8,713000.0,fixed,5,1.47,direct,2026,0.624,0.221,0.0492
A00108,TG,apartment,86.0,3.5,2022,0.4,A,542000.0,77200.0,47,employed,5,443000.0,fixed,5,1.66,indirect,2026,0.817,0.428,0.0953
A00109,BE,apartment,120.0,4.0,2008,6.0,C,912000.0,131900.0,47,self_employed,5,638000.0,saron,0,0.99,indirect,2026,0.7,0.326,0.0479
A00110,ZH,house,161.0,4.5,2003,4.8,A,1621000.0,156500.0,50,employed,1,1272000.0,fixed,10,1.97,direct,2026,0.785,0.591,0.1601
A00111,LU,apartment,123.0,4.0,1986,5.8,C,853000.0,126400.0,55,employed,9,564000.0,saron,0,1.18,indirect,2026,0.661,0.291,0.0527
A00112,ZH,apartment,68.0,3.0,1922,7.6,E,649000.0,93200.0,50,employed,2,407000.0,fixed,10,1.84,direct,2026,0.627,0.288,0.0804
A00113,AG,apartment,124.0,4.0,2000,27.3,A,537000.0,73200.0,50,employed,21,309000.0,saron,0,1.15,direct,2026,0.575,0.284,0.0485
A00114,BE,apartment,103.0,4.0,1993,2.5,A,768000.0,117600.0,48,employed,5,466000.0,fixed,5,1.43,indirect,2026,0.607,0.263,0.0567
A00115,TG,apartment,111.0,4.0,1971,5.8,C,573000.0,103700.0,47,employed,2,436000.0,fixed,10,1.67,direct,2026,0.761,0.3,0.0702
A00116,BE,apartment,88.0,2.5,1962,8.5,E,493000.0,112200.0,54,self_employed,9,352000.0,fixed,10,1.92,direct,2026,0.714,0.215,0.0602
A00117,LU,apartment,131.0,5.0,1908,1.5,F,1062000.0,174900.0,48,employed,2,836000.0,fixed,10,1.78,direct,2026,0.787,0.349,0.0851
A00118,BE,house,166.0,6.0,1981,1.2,C,1083000.0,149000.0,32,self_employed,6,944000.0,fixed,5,1.67,indirect,2026,0.872,0.489,0.1058
A00119,BE,house,129.0,5.0,1920,9.1,D,688000.0,152100.0,60,employed,6,531000.0,saron,0,0.94,direct,2026,0.772,0.251,0.0328
A00120,LU,apartment,92.0,3.0,1964,6.0,C,566000.0,100300.0,48,employed,13,387000.0,saron,0,1.18,direct,2026,0.684,0.256,0.0455
A00121,TG,apartment,78.0,3.5,1908,3.7,F,422000.0,192000.0,48,employed,13,261000.0,saron,0,1.22,indirect,2026,0.618,0.09,0.0166
A00122,BE,apartment,128.0,4.5,1957,5.9,D,787000.0,135600.0,57,employed,0,416000.0,fixed,5,1.52,direct,2026,0.529,0.211,0.0466
A00123,TG,house,144.0,5.0,1951,22.5,D,578000.0,112000.0,30,employed,3,439000.0,saron,0,0.97,direct,2026,0.76,0.28,0.038
A00124,TG,apartment,90.0,3.5,1961,2.4,C,498000.0,98800.0,59,self_employed,1,349000.0,fixed,5,1.47,direct,2026,0.701,0.238,0.0519
A00125,BE,house,119.0,5.0,2008,2.2,B,716000.0,129800.0,50,employed,14,518000.0,saron,0,0.74,indirect,2026,0.723,0.276,0.0295
A00126,BE,house,141.0,5.5,2014,9.3,B,921000.0,100800.0,43,employed,5,556000.0,saron,0,0.79,direct,2026,0.604,0.367,0.0436
A00127,AG,apartment,83.0,2.0,1951,0.3,D,624000.0,81400.0,33,employed,1,334000.0,saron,0,0.96,indirect,2026,0.535,0.282,0.0394
A00128,SO,house,189.0,7.0,2011,4.7,D,947000.0,148400.0,29,employed,5,671000.0,fixed,10,1.84,direct,2026,0.709,0.308,0.0832
A00129,ZH,apartment,96.0,3.0,2015,2.8,B,1322000.0,142400.0,52,employed,0,949000.0,saron,0,0.92,indirect,2026,0.718,0.458,0.0613
A00130,ZH,apartment,131.0,4.5,1940,1.0,B,1492000.0,241100.0,49,employed,2,1332000.0,saron,0,1.08,direct,2026,0.893,0.431,0.0597
A00131,BE,apartment,77.0,2.0,2020,6.4,A,508000.0,91700.0,42,employed,6,345000.0,fixed,10,1.77,direct,2026,0.679,0.248,0.0666
A00132,ZH,apartment,110.0,3.5,1916,3.9,D,1020000.0,175300.0,42,employed,7,906000.0,fixed,10,1.62,indirect,2026,0.888,0.403,0.0837
A00133,BE,house,107.0,3.5,1981,3.7,C,804000.0,90700.0,51,employed,2,512000.0,saron,0,0.73,direct,2026,0.637,0.371,0.0412
A00134,TG,house,133.0,5.5,2010,6.2,A,1041000.0,266600.0,25,self_employed,8,725000.0,saron,0,0.94,direct,2026,0.696,0.183,0.0256
A00135,SG,apartment,72.0,2.5,2009,13.1,C,517000.0,130100.0,36,employed,6,408000.0,fixed,10,1.68,indirect,2026,0.789,0.229,0.0527
A00136,BE,apartment,116.0,4.5,1971,5.1,C,620000.0,168400.0,42,employed,16,348000.0,fixed,10,1.76,direct,2026,0.561,0.14,0.0364
A00137,LU,house,169.0,6.5,2020,11.2,B,1284000.0,256100.0,35,employed,18,889000.0,fixed,5,1.23,indirect,2026,0.692,0.232,0.0427
A00138,SG,house,220.0,8.0,1923,3.2,C,1642000.0,130900.0,50,employed,3,1129000.0,fixed,10,1.88,direct,2026,0.688,0.574,0.1621
A00139,BE,house,190.0,6.0,1969,15.1,C,853000.0,229100.0,46,employed,5,644000.0,fixed,10,1.84,indirect,2026,0.755,0.2,0.0517
A00140,LU,house,131.0,4.0,1915,4.6,F,977000.0,187000.0,42,employed,3,652000.0,saron,0,0.94,direct,2026,0.667,0.227,0.0328
A00141,LU,apartment,116.0,5.0,1977,15.1,C,702000.0,129800.0,53,employed,13,341000.0,fixed,10,1.7,direct,2026,0.486,0.185,0.0447
A00142,LU,house,139.0,6.0,1978,7.7,C,823000.0,157100.0,33,employed,2,672000.0,fixed,10,1.75,direct,2026,0.817,0.319,0.0749
A00143,ZH,apartment,130.0,5.0,1940,0.8,D,1361000.0,129300.0,49,employed,3,990000.0,fixed,5,1.31,direct,2026,0.727,0.531,0.1003
A00144,BE,house,179.0,6.5,2006,14.6,A,1027000.0,238700.0,47,employed,6,681000.0,saron,0,1.01,direct,2026,0.663,0.186,0.0288
A00145,BE,house,146.0,5.0,2017,4.5,A,788000.0,163700.0,50,employed,1,630000.0,saron,0,0.82,direct,2026,0.799,0.283,0.0316
A00146,SO,house,142.0,4.5,1957,0.6,D,858000.0,123700.0,47,employed,4,621000.0,fixed,10,1.69,direct,2026,0.724,0.347,0.0848
A00147,ZH,apartment,50.0,2.0,1930,0.3,D,719000.0,156400.0,47,employed,9,451000.0,fixed,5,1.34,direct,2026,0.627,0.19,0.0386
A00148,LU,house,188.0,7.5,1941,6.0,E,1504000.0,235700.0,39,employed,0,1073000.0,fixed,10,1.89,direct,2026,0.713,0.311,0.086
A00149,LU,house,152.0,5.5,1959,13.6,E,723000.0,152400.0,40,self_employed,2,590000.0,saron,0,1.13,direct,2026,0.816,0.288,0.0437
A00150,ZH,apartment,82.0,3.0,1911,6.6,E,683000.0,168600.0,46,employed,11,455000.0,fixed,5,1.4,direct,2026,0.666,0.175,0.0378
A00151,AG,house,191.0,6.5,2005,14.0,A,1280000.0,145600.0,41,employed,1,940000.0,saron,0,0.65,direct,2026,0.734,0.45,0.042
A00152,SG,apartment,73.0,3.0,1912,4.8,G,400000.0,119000.0,41,employed,6,335000.0,fixed,5,1.39,indirect,2026,0.838,0.213,0.0391
A00153,TG,house,112.0,4.0,2017,1.4,C,959000.0,140500.0,62,retired,6,598000.0,fixed,5,1.3,direct,2026,0.624,0.281,0.0553
A00154,TG,house,150.0,5.5,1909,14.0,E,762000.0,122200.0,51,self_employed,1,481000.0,fixed,5,1.41,direct,2026,0.631,0.259,0.0555
A00155,ZH,house,121.0,4.0,2015,11.0,B,1075000.0,129400.0,47,employed,15,663000.0,saron,0,0.87,indirect,2026,0.617,0.339,0.0446
A00156,BE,apartment,57.0,1.5,1956,0.5,D,324000.0,63300.0,42,employed,14,189000.0,fixed,5,1.55,direct,2026,0.583,0.2,0.0463
A00157,ZH,apartment,100.0,4.0,1977,8.4,C,922000.0,96100.0,42,employed,3,585000.0,fixed,10,1.86,indirect,2026,0.634,0.4,0.1132
A00158,ZH,apartment,92.0,3.5,1995,11.8,B,783000.0,114300.0,29,employed,4,500000.0,saron,0,1.13,direct,2026,0.639,0.287,0.0494
A00159,BE,apartment,102.0,4.0,1972,1.2,C,707000.0,171700.0,46,employed,0,469000.0,saron,0,1.25,direct,2026,0.663,0.178,0.0341
A00160,TG,apartment,149.0,4.0,2019,8.7,B,1032000.0,189100.0,46,employed,3,689000.0,fixed,5,1.4,indirect,2026,0.668,0.237,0.051
A00161,AG,house,167.0,5.5,2014,2.9,B,1570000.0,156300.0,38,employed,8,1159000.0,fixed,10,1.82,indirect,2026,0.738,0.519,0.135
A00162,AG,apartment,93.0,3.0,1982,0.8,C,719000.0,104300.0,43,employed,3,569000.0,saron,0,1.0,direct,2026,0.791,0.399,0.0546
A00163,BE,apartment,105.0,3.5,1940,4.2,D,567000.0,131100.0,54,employed,10,401000.0,fixed,5,1.59,indirect,2026,0.707,0.208,0.0486
A00164,ZH,apartment,135.0,5.0,1941,8.3,E,987000.0,181600.0,47,employed,4,748000.0,saron,0,0.96,direct,2026,0.758,0.293,0.0395
A00165,ZH,apartment,70.0,2.0,1988,31.2,B,374000.0,94100.0,44,self_employed,3,249000.0,saron,0,1.09,indirect,2026,0.666,0.172,0.0288
A00166,TG,house,109.0,5.0,1999,29.7,B,413000.0,103100.0,37,employed,12,354000.0,fixed,5,1.62,direct,2026,0.857,0.263,0.0556
A00167,LU,apartment,122.0,3.5,2007,0.4,A,1056000.0,150800.0,49,employed,21,813000.0,saron,0,0.96,direct,2026,0.77,0.388,0.0518
A00168,BE,apartment,100.0,3.5,1944,5.4,D,512000.0,72500.0,56,employed,1,269000.0,fixed,5,1.76,direct,2026,0.525,0.256,0.0653
A00169,LU,house,215.0,7.5,1969,7.0,C,1474000.0,233800.0,25,employed,19,1153000.0,saron,0,1.03,indirect,2026,0.782,0.358,0.0508
A00170,ZH,apartment,110.0,4.5,1990,0.3,B,1200000.0,197000.0,48,employed,3,696000.0,fixed,10,1.68,direct,2026,0.58,0.238,0.0594
A00171,ZH,apartment,88.0,3.0,1995,34.1,C,641000.0,132000.0,56,employed,15,515000.0,fixed,10,1.86,direct,2026,0.803,0.288,0.0726
A00172,TG,house,182.0,6.5,1992,8.7,B,927000.0,190900.0,30,employed,7,622000.0,fixed,10,1.8,direct,2026,0.671,0.213,0.0586
A00173,ZH,apartment,85.0,3.0,1955,3.2,D,818000.0,205900.0,60,employed,2,465000.0,saron,0,1.05,direct,2026,0.568,0.153,0.0237
A00174,AG,house,162.0,5.5,2022,16.9,A,1104000.0,238300.0,40,employed,1,872000.0,fixed,5,1.57,indirect,2026,0.79,0.267,0.0575
